Ticker;Name;Sector;REUTERS_CODE;YAHOO_CODE
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;Information Technology;2330.TW;2330.TW
700;TENCENT HOLDINGS LTD;Communication;0700.HK;0700.HK
5930;SAMSUNG ELECTRONICS LTD;Information Technology;005930.KS;005930.KS
9988;ALIBABA GROUP HOLDING LTD;Consumer Discretionary;9988.N;9988.N
3690;MEITUAN;Consumer Discretionary;3690.HK;3690.HK
1299;AIA GROUP LTD;Financials;1299.HK;1299.HK
9618;JD.COM CLASS A INC;Consumer Discretionary;9618.HK;9618.HK
388;HONG KONG EXCHANGES AND CLEARING L;Financials;0388.HK;0388.HK
939;CHINA CONSTRUCTION BANK CORP H;Financials;0939.HK;0939.HK
2454;MEDIATEK INC;Information Technology;2454.TW;2454.TW
660;SK HYNIX INC;Information Technology;000660.KS;000660.KS
35420;NAVER CORP;Communication;035420.KS;035420.KS
2317;HON HAI PRECISION INDUSTRY LTD;Information Technology;2317.TW;2317.TW
2269;WUXI BIOLOGICS CAYMAN INC;Health Care;2269.HK;2269.HK
9999;NETEASE INC;Communication;9999.HK;9999.HK
5935;SAMSUNG ELECTRONICS NON VOTING PRE;Information Technology;005930.KS;005930.KS
1810;XIAOMI CORP;Information Technology;1810.HK;1810.HK
2318;PING AN INSURANCE (GROUP) CO OF CH;Financials;2318.HK;2318.HK
D05;DBS GROUP HOLDINGS LTD;Financials;DBSM.SI;DBSM.SI
669;TECHTRONIC INDUSTRIES LTD;Industrials;0669.HK;0669.HK
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Financials;1398.HK;1398.HK
6400;SAMSUNG SDI LTD;Information Technology;006400.KS;006400.KS
O39;OVERSEA-CHINESE BANKING LTD;Financials;OCBC.SI;OCBC.SI
35720;KAKAO CORP;Communication;035720.KS;035720.KS
UOB;UNITED OVERSEAS BANK LTD;Financials;UOBH.SI;UOBH.SI
3968;CHINA MERCHANTS BANK LTD H;Financials;600036.SS;600036.SS
1211;BYD LTD H;Consumer Discretionary;1211.HK;1211.HK
51910;LG CHEM LTD;Materials;051910.KS;051910.KS
2331;LI NING LTD;Consumer Discretionary;2331.HK;2331.HK
3988;BANK OF CHINA LTD H;Financials;3988.HK;3988.HK
2303;UNITED MICRO ELECTRONICS CORP;Information Technology;UMC.N;UMC.N
5380;HYUNDAI MOTOR;Consumer Discretionary;005380.KS;005380.KS
16;SUN HUNG KAI PROPERTIES LTD;Real Estate;0016.HK;0016.HK
2020;ANTA SPORTS PRODUCTS LTD;Consumer Discretionary;2020.HK;2020.HK
823;LINK REAL ESTATE INVESTMENT TRUST;Real Estate;0823.HK;0823.HK
270;KIA CORPORATION CORP;Consumer Discretionary;000270.KS;000270.KS
68270;CELLTRION INC;Health Care;068270.KS;068270.KS
105560;KB FINANCIAL GROUP INC;Financials;105560.KS;105560.KS
2308;DELTA ELECTRONICS INC;Information Technology;2308.TW;2308.TW
1;CK HUTCHISON HOLDINGS LTD;Industrials;0001.HK;0001.HK
5490;POSCO;Materials;005490.KS;005490.KS
1303;NAN YA PLASTICS CORP;Materials;1303.TW;1303.TW
2891;CTBC FINANCIAL HOLDING LTD;Financials;2891.TW;2891.TW
175;GEELY AUTOMOBILE HOLDINGS LTD;Consumer Discretionary;0175.HK;0175.HK
55550;SHINHAN FINANCIAL GROUP LTD;Financials;055550.KS;055550.KS
3;HONG KONG AND CHINA GAS LTD;Utilities;0003.HK;0003.HK
2;CLP HOLDINGS LTD;Utilities;0002.HK;0002.HK
1301;FORMOSA PLASTICS CORP;Materials;1301.TW;1301.TW
2412;CHUNGHWA TELECOM LTD;Communication;2412.TW;2412.TW
11;HANG SENG BANK LTD;Financials;0011.HK;0011.HK
12330;HYUNDAI MOBIS LTD;Consumer Discretionary;012330.KS;012330.KS
5387;HYUNDAI MOTOR S2 PREF;Consumer Discretionary;005380.KS;005380.KS
51915;LG CHEM PREFERRED STOCK LTD;Materials;051910.KS;051910.KS
5385;HYUNDAI MOTOR S1 PREF;Consumer Discretionary;005380.KS;005380.KS
