Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
0;NESTLE;Food, Beverage and Tobacco;CH;NESN.S;NESN.SW;NESN.S
1;ASML HLDG;Technology;NL;ASML.AS;ASML.AS;ASML.AS, ASML.A
2;ROCHE HLDG P;Health Care;CH;ROG.S;ROG.SW;ROG.S, RO.S
3;NOVARTIS;Health Care;CH;NOVN.S;NOVN.SW;NOVN.S, NOVNEE.S
4;NOVO NORDISK B;Health Care;DK;NOVOB.CO;NOVO-B.CO;NOVOB.CO
5;ASTRAZENECA;Health Care;GB;AZN.L;AZN.L;AZN.L
6;LINDE;Chemicals;DE;LINI.DE;LIN.DE;
7;SAP;Technology;DE;SAPG.DE;SAP.DE;SAPGY_P.BE, SAPG.BE
8;UNILEVER PLC;Personal Care, Drug and Grocery Stores;GB;ULVR.L;ULVR.L;ULVR.L
9;SIEMENS;Industrial Goods and Services;DE;SIEGN.DE;SIE.DE;SIEGN.BE
10;HSBC;Banks;GB;HSBA.L;HSBA.L;HSBA.L, 77KB.L
11;DIAGEO;Food, Beverage and Tobacco;GB;DGE.L;DGE.L;DGE.L
12;GLAXOSMITHKLINE;Health Care;GB;GSK.L;GSK.L;GSK.L
13;ALLIANZ;Insurance;DE;ALVG.BE;ALV.DE;ALVG.BE
14;BP;Energy;GB;BP.L;BP.L;BP.L, BP_P.L, BP_PB.L
15;ROYAL DUTCH SHELL A;Energy;GB;RDSA.L;RDSA.L;RDSA.L
16;DAIMLER;Automobiles and Parts;DE;DAIGN.DE;DAI.DE;DAIGN.BE
17;ADYEN;Industrial Goods and Services;NL;ADYEN.AS;ADYEN.AS;ADYEN.AS
18;CIE FINANCIERE RICHEMONT;Consumer Products and Services;CH;CFR.S;CFRHF;
19;Prosus;Technology;NL;PRX.AS;PRX.AS;PRX.AS
20;BRITISH AMERICAN TOBACCO;Food, Beverage and Tobacco;GB;BATS.L;BATS.L;BATS.L
21;IBERDROLA;Utilities;ES;IBE.MC;IBE.MC;
22;BASF;Chemicals;DE;BASFN.DE;BAS.DE;BASFY.BE, BASFN.BE
23;ZURICH INSURANCE GROUP;Insurance;CH;ZURN.S;ZURN.SW;ZURN.S
24;RIO TINTO;Basic Resources;GB;RIO.L;RIO.L;
25;INFINEON TECHNOLOGIES;Technology;DE;IFXGN.DE;IFX.DE;IFXGY.BE, IFXGN.BE
26;RELX PLC;Media;GB;REL.L;REL.L;REL.L
27;DEUTSCHE POST;Industrial Goods and Services;DE;DPWGN.DE;DPW.DE;DPWGN.BE
28;DEUTSCHE TELEKOM;Telecommunications;DE;DTEGN.DE;DTE.DE;DTEAY.BE, DTEGN.BE
29;BCO SANTANDER;Banks;ES;SAN.MC;SAN.MC;
30;ENEL;Utilities;IT;ENEI.MI;ENEL.MI;ENEI.MI, ENEITAH.MI
31;UBS GROUP;Financial Services;CH;UBSG.S;UBSG.SW;UBSG.S, UBSGE.S
32;RECKITT BENCKISER GRP;Personal Care, Drug and Grocery Stores;GB;RB.L;RKT.L;RB.L
33;ADIDAS;Consumer Products and Services;DE;ADSGN.DE;ADS.DE;ADSGN.BE
34;LONZA;Health Care;CH;LONN.S;LONN.SW;LONN.S
35;ING GRP;Banks;NL;INGA.AS;INGA.AS;ING.A, INGA.AS
36;ABB;Industrial Goods and Services;CH;ABBN.S;ABBN.SW;ABBN.S
37;BAYER;Health Care;DE;BAYGN.DE;BAYN.DE;BAYGY.BE, BAYGN.BE
