NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE
3M;Industrials;Industrial Conglomerates;MMM.N;MMM
Abbott Laboratories;Health Care;Health Care Equipment;ABT.N;ABT
AbbVie;Health Care;Pharmaceuticals;ABBV.N;ABBV
Abiomed;Health Care;Health Care Equipment;ABMD.N;ABMD
Accenture;Information Technology;IT Consulting & Other Services;ACN.N;ACN
Activision Blizzard;Communication Services;Interactive Home Entertainment;ATVI.N;ATVI
Adobe;Information Technology;Application Software;ADBE.N;ADBE
Advanced Micro Devices;Information Technology;Semiconductors;AMD.N;AMD
Advance Auto Parts;Consumer Discretionary;Automotive Retail;AAP.N;AAP
AES Corp;Utilities;Independent Power Producers & Energy Traders;AES.N;AES
Aflac;Financials;Life & Health Insurance;AFL.N;AFL
Agilent Technologies;Health Care;Health Care Equipment;A.N;A
Air Products & Chemicals;Materials;Industrial Gases;APD.N;APD
Akamai Technologies;Information Technology;Internet Services & Infrastructure;AKAM.N;AKAM
Alaska Air Group;Industrials;Airlines;ALK.N;ALK
Albemarle Corporation;Materials;Specialty Chemicals;ALB.N;ALB
Alexandria Real Estate Equities;Real Estate;Office REITs;ARE.N;ARE
Align Technology;Health Care;Health Care Supplies;ALGN.N;ALGN
Allegion;Industrials;Building Products;ALLE.N;ALLE
Alliant Energy;Utilities;Electric Utilities;LNT.N;LNT
Allstate Corp;Financials;Property & Casualty Insurance;ALL.N;ALL
Alphabetÿ(Class A);Communication Services;Interactive Media & Services;GOOGL.N;GOOGL
Alphabetÿ(Class C);Communication Services;Interactive Media & Services;GOOG.N;GOOG
Altria Group;Consumer Staples;Tobacco;MO.N;MO
Amazon;Consumer Discretionary;Internet & Direct Marketing Retail;AMZN.N;AMZN
Amcor;Materials;Paper Packaging;AMCR.N;AMCR
Ameren Corp;Utilities;Multi-Utilities;AEE.N;AEE
American Airlines Group;Industrials;Airlines;AAL.N;AAL
American Electric Power;Utilities;Electric Utilities;AEP.N;AEP
American Express;Financials;Consumer Finance;AXP.N;AXP
American International Group;Financials;Property & Casualty Insurance;AIG.N;AIG
American Tower;Real Estate;Specialized REITs;AMT.N;AMT
American Water Works;Utilities;Water Utilities;AWK.N;AWK
Ameriprise Financial;Financials;Asset Management & Custody Banks;AMP.N;AMP
AmerisourceBergen;Health Care;Health Care Distributors;ABC.N;ABC
Ametek;Industrials;Electrical Components & Equipment;AME.N;AME
Amgen;Health Care;Biotechnology;AMGN.N;AMGN
Amphenol;Information Technology;Electronic Components;APH.N;APH
Analog Devices;Information Technology;Semiconductors;ADI.N;ADI
Ansys;Information Technology;Application Software;ANSS.N;ANSS
Anthem;Health Care;Managed Health Care;ANTM.N;ANTM
Aon;Financials;Insurance Brokers;AON.N;AON
A. O. Smith;Industrials;Building Products;AOS.N;AOS
APA Corporation;Energy;Oil & Gas Exploration & Production;APA.N;APA
