NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE;Country;Financials
3I GROUP PLC.;Asset Management;Asset Management & Custody Banks;III.L;III.L;GB;
3M;Industrials;Industrials Conglomerate;MMM.N;MMM;US;
A. O. Smith;Industrials;Building Products;AOS.N;AOS;US;
A.P.MOLLER-MAERSK B;Freight;Freight;MAERSKB.CO;MAERSK-B.CO;DK;
A.S.T. GROUPE;Real Estate;;ASTP.PA;ASP.PA;FR;
A2A;Energy;Multi-Utilities;A2.MI;A2A.MI;IT;
AAK;Consumer Staples;Packaged Foods & Meats;AAK.ST;AAK.ST;SE;
AALBERTS;Industrial Machinery;Industrial Machinery;AALB.AS;AALB.AS;NL;
AB SCIENCE;Biotechnology;Pharmaceuticals;ABS.PA;AB.PA;FR;
ABB;Electronic Components;;ABBN.S;ABBN.SW;CHF;
Abbott Laboratories;Health Care Equipment;Health Care Equipment;ABT.N;ABT;US;
AbbVie;Biotechnology;Pharmaceuticals;ABBV.N;ABBV;US;
ABC ARBITRAGE;Financials;;BITI.PA;ABCA.PA;FR;
Abiomed;Health Care Equipment;Health Care Equipment;ABMD.N;ABMD;US;
ABIVAX;Biotechnology;Pharmaceuticals;ABVX.PA;ABVX.PA;FR;
ABRDN;Financial Services;;ABDN.L;ABDN.L;GB;
Accenture;Information Services;IT Consulting & Other Services;ACN.N;ACN;US;
ACCIONA S.A.;Construction and Materials;;ANA.MC;ANA.MC;ES;
ACCOR;Hotels & Restaurants;Hotels, Resorts & Cruise Lines;ACCP.PA;AC.PA;FR;
ACKERMANS & VAN HAAREN;Financial Services;;ACKB.BR;ACKB.BR;BE;
ACTEOS;Semiconductors;Systems Software;DTNC.PA;EOS.PA;FR;
ACTIA GROUP;Electronic Components;;MRSP.PA;ATI.PA;FR;
Activision Blizzard;Communication Services;Interactive Home Entertainment;ATVI.N;ATVI;US;
ADDLIFE;Health Care Equipment;Health Care Equipment;ALIFB.ST;ALIF-B.ST;SE;
ADDTECH B;Industrial Machinery;Industrial Machinery;ADDTB.ST;ADDT-B.ST;SE;
ADECCO;Information Services;Human Resource & Employment Services;ADEN.S;ADEN.SW;CHF;
