NAME;CODE
ACCOR;ACCP.PA
AEROPORT DE PARIS;ADP.PA
A.S.T. GROUPE;ASTP.PA
AB SCIENCE;ABS.PA
ABC ARBITRAGE;BITI.PA
ABIVAX;ABVX.PA
ACTEOS;DTNC.PA
ACTIA GROUP;MRSP.PA
ADOCIA;ADOC.PA
AIR FRANCE -KLM;AIRF.PA
Air Liquide S.A;AIRP.PA
AIRBUS SE;AIR.PA
AKKA TECHNOLOGIES;AKA.PA
AKWEL;AKW.PA
ALBIOMA;ABIO.PA
ALPES (COMPAGNIE);CDAF.PA
ALSTOM;ALSO.PA
ALTEN;LTEN.PA
ALTUR INVEST.;ALTUR.PA
AMPLITUDE SURGICAL;AMPLI.PA
AMUNDI;AMUN.PA
ArcelorMittal;MT.AS
ARKEMA;AKE.PA
ASSYSTEM;ASY.PA
ATARI;ATAR.PA
ATEME;ATEME.PA
Atos SE;ATOS.PA
AUBEY;AUBT.PA
AUREA;AUER.PA
AURES TECHNOLOGIES;AURS.PA
Axa;AXAF.PA
AXWAY SOFTWARE;AXW.PA
BASTIDE LE CONFORT;BATD.PA
BENETEAU;CHBE.PA
BIC;BICP.PA
BIGBEN INTERACTIVE;BGBN.PA
BIOMERIEUX;BIOX.PA
BNP;BNPP.PA
BOIRON;BOIR.PA
BOLLORE;BOLL.PA
BONDUELLE;BOND.PA
BOURSE DIRECT;BDRP.PA
Bouygues;BOUY.PA
BUREAU VERITAS;BVI.PA
CAFOM;CAFO.PA
CAPELLI;CAPLI.PA
Capgemini;CAPP.PA
Carrefour;CARR.PA
CASINO GUICHARD;CASP.PA
CAST;YAS.PA
CATANA GROUP;CATGR.PA
CATERING INTL SCES;CTRG.PA
CBO TERRITORIA;CBOT.PA
CEGEDIM;CGDM.PA
CGG;GEPH.PA
CHARGEURS;CRIP.PA
CIBOX INTER A CTIV;CIBP.PA
CLARANOVA;AVQ.PA
CNIM CONSTR.FRF 10;CNIM.PA
CNP ASSURANCES;CNPP.PA
COFACE;COFA.PA
Compagnie de Saint-Gobain S.A.;SGOB.PA
Credit Agricole S.A.;CAGR.PA
Danone;DANO.PA
Dassault Systemes SA;DAST.PA
DBV TECHNOLOGIES;DBV.PA
DERICHEBOURG;DBG.PA
DIAGNOSTIC MEDICAL;DMSP.PA
EDENRED;EDEN.PA
EDF;EDF.PA
EGIDE;EGID.PA
EIFFAGE;FOUG.PA
EKINOPS;EKI.PA
ELIOR GROUP;ELIOR.PA
ELIS;ELIS.PA
Engie;ENGIE.PA
ERAMET;ERMT.PA
ERYTECH PHARMA;ERYP.PA
ESI GROUP;ESIG.PA
EssilorLuxottica;ESLX.PA
ESSO;ESSF.PA
EURAZEO;EURA.PA
EUROFINS SCIENTIFIC;EUFI.PA
EUROPACORP;ECP.PA
EUROPCAR;EUCAR.PA
EUTELSAT COMMUNIC.;ETL.PA
