LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
AUT;CPI;TOT;AGRWTH;M;1989-04;2.460771
AUT;CPI;TOT;AGRWTH;M;1989-05;2.822437
AUT;CPI;TOT;AGRWTH;M;1989-06;2.522203
AUT;CPI;TOT;AGRWTH;M;1989-07;2.598314
AUT;CPI;TOT;AGRWTH;M;1989-08;2.696079
AUT;CPI;TOT;AGRWTH;M;1989-09;2.5
AUT;CPI;TOT;AGRWTH;M;1989-10;2.789549
AUT;CPI;TOT;AGRWTH;M;1989-11;2.686462
AUT;CPI;TOT;AGRWTH;M;1989-12;2.898551
AUT;CPI;TOT;AGRWTH;M;1990-01;2.879213
AUT;CPI;TOT;AGRWTH;M;1990-02;3.144653
AUT;CPI;TOT;AGRWTH;M;1990-03;3.142458
AUT;CPI;TOT;AGRWTH;M;1990-04;3.132614
AUT;CPI;TOT;AGRWTH;M;1990-05;3.022932
AUT;CPI;TOT;AGRWTH;M;1990-06;2.945252
AUT;CPI;TOT;AGRWTH;M;1990-07;2.977412
AUT;CPI;TOT;AGRWTH;M;1990-08;3.13672
AUT;CPI;TOT;AGRWTH;M;1990-09;3.744418
AUT;CPI;TOT;AGRWTH;M;1990-10;3.847475
AUT;CPI;TOT;AGRWTH;M;1990-11;3.683304
AUT;CPI;TOT;AGRWTH;M;1990-12;3.469598
AUT;CPI;TOT;AGRWTH;M;1991-01;3.344709
AUT;CPI;TOT;AGRWTH;M;1991-02;3.319784
AUT;CPI;TOT;AGRWTH;M;1991-03;3.52065
AUT;CPI;TOT;AGRWTH;M;1991-04;3.307458
AUT;CPI;TOT;AGRWTH;M;1991-05;3.338955
AUT;CPI;TOT;AGRWTH;M;1991-06;3.769775
AUT;CPI;TOT;AGRWTH;M;1991-07;3.622466
AUT;CPI;TOT;AGRWTH;M;1991-08;3.702479
AUT;CPI;TOT;AGRWTH;M;1991-09;3.145695
AUT;CPI;TOT;AGRWTH;M;1991-10;2.679457
AUT;CPI;TOT;AGRWTH;M;1991-11;3.253653
AUT;CPI;TOT;AGRWTH;M;1991-12;3.054449
AUT;CPI;TOT;AGRWTH;M;1992-01;3.863937
AUT;CPI;TOT;AGRWTH;M;1992-02;4.098361
