"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-01",2.238045,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-02",2.515163,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-03",2.462596,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-04",1.809462,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-05",1.999584,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-06",2.994983,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-07",3.516743,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-08",3.984889,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-09",5.693497,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-10",5.465703,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-11",4.814464,
"AUT","PPI","DOMESTIC","AGRWTH","M","2000-12",3.380591,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-01",2.375297,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-02",1.891253,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-03",1.413428,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-04",1.770956,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-05",1.173709,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-06",0.9345794,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-07",0.7009346,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-08",-0.1164144,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-09",-1.716247,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-10",-2.290951,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-11",-2.637615,
"AUT","PPI","DOMESTIC","AGRWTH","M","2001-12",-2.652826,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-01",-2.088167,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-02",-2.668213,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-03",-1.858304,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-04",-1.62413,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-05",-1.392111,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-06",-2.199074,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-07",-1.972158,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-08",-1.398601,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-09",-1.04773,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-10",-0.3516999,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-11",-0.4711425,
"AUT","PPI","DOMESTIC","AGRWTH","M","2002-12",0.2369668,
"AUT","PPI","DOMESTIC","AGRWTH","M","2003-01",1.066351,
"AUT","PPI","DOMESTIC","AGRWTH","M","2003-02",2.264601,
"AUT","PPI","DOMESTIC","AGRWTH","M","2003-03",1.656805,
"AUT","PPI","DOMESTIC","AGRWTH","M","2003-04",-0.1179245,
