,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,89.04,142.55,76.56,74.44,79.95
Cash & Equivalents,36.75,18.83,18.74,17.61,16.51
Cash and Short Term Investments,125.79,161.38,95.30,92.05,96.46
"Accounts Receivable - Trade, Net",67.46,59.29,74.49,44.53,42.19
"Total Receivables, Net",110.18,106.05,124.19,82.59,78.98
Total Inventory,60.33,55.02,62.24,54.55,54.60
Prepaid Expenses,1.72,2.51,2.03,2.89,2.67
Total Current Assets,298.01,324.95,283.76,232.09,232.71
"Property/Plant/Equipment, Total - Gross","1,945.98","1,841.07","1,664.78","1,495.65","1,353.99"
"Accumulated Depreciation, Total",(634.04),(568.76),(502.89),(453.27),(412.82)
"Property/Plant/Equipment, Total - Net","1,311.95","1,272.30","1,161.89","1,042.39",941.17
"Goodwill, Net",16.88,16.88,24.23,11.71,11.84
"Intangibles, Net",93.50,108.09,101.18,98.12,107.05
Long Term Investments,26.88,30.34,27.38,26.93,28.77
Note Receivable - Long Term,0.93,1.37,1.47,0.66,0.50
"Other Long Term Assets, Total",2.57,5.17,0.71,6.62,6.60
Total Assets,"1,750.73","1,759.11","1,600.61","1,418.51","1,328.64"
Accounts Payable,66.45,62.95,57.63,54.57,50.43
Accrued Expenses,32.92,28.03,25.75,22.95,28.24
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,80.95,179.02,123.46,59.58,53.88
"Other Current liabilities, Total",45.68,52.48,67.93,47.53,39.73
Total Current Liabilities,226.00,322.47,274.77,184.64,172.28
Long Term Debt,822.83,760.65,722.24,647.70,593.92
Capital Lease Obligations,36.68,34.19,--,--,--
Total Long Term Debt,859.51,794.84,722.24,647.70,593.92
Total Debt,940.46,973.86,845.70,707.28,647.80
Deferred Income Tax,18.62,23.53,32.89,39.07,44.48
Minority Interest,89.76,95.37,84.33,78.49,73.51
"Other Liabilities, Total",114.26,97.76,77.93,79.82,79.71
Total Liabilities,"1,308.16","1,333.97","1,192.16","1,029.72",963.89
"Common Stock, Total",1.22,1.21,1.19,1.18,1.16
Additional Paid-In Capital,64.81,55.63,48.66,42.20,35.75
Retained Earnings (Accumulated Deficit),418.10,390.68,380.92,361.97,335.20
"Other Equity, Total",(41.55),(22.36),(22.31),(16.56),(7.37)
Total Equity,442.58,425.15,408.46,388.79,364.75
Total Liabilities & Shareholders' Equity,"1,750.73","1,759.11","1,600.61","1,418.51","1,328.64"
Total Common Shares Outstanding,31.21,30.89,30.12,30.25,29.85
"Tangible Book Value per Share, Common Eq",10.64,9.72,9.40,9.22,8.24
"Other Current Assets, Total",0.00,0.00,(0.00),--,--
