,30-Jun-21,31-Dec-20
Cash,84.91,89.04
Cash & Equivalents,26.22,36.75
Cash and Short Term Investments,111.13,125.79
"Accounts Receivable - Trade, Net",88.11,67.46
"Total Receivables, Net",126.79,110.18
Total Inventory,63.00,60.33
Prepaid Expenses,5.37,1.72
Total Current Assets,306.28,298.01
"Property/Plant/Equipment, Total - Gross",(0.00),--
"Property/Plant/Equipment, Total - Net","1,345.01","1,311.95"
"Goodwill, Net",15.70,16.88
"Intangibles, Net",99.34,93.50
Long Term Investments,30.86,26.88
Note Receivable - Long Term,0.52,0.93
"Other Long Term Assets, Total",2.47,2.57
Total Assets,"1,800.18","1,750.73"
Accounts Payable,65.93,66.45
Accrued Expenses,32.19,32.92
Notes Payable/Short Term Debt,0.00,0.00
Current Port. of LT Debt/Capital Leases,134.15,80.95
"Other Current liabilities, Total",62.30,45.68
Total Current Liabilities,294.57,226.00
Long Term Debt,800.57,822.83
Capital Lease Obligations,40.64,36.68
Total Long Term Debt,841.22,859.51
Total Debt,975.36,940.46
Deferred Income Tax,22.02,18.62
Minority Interest,90.43,89.76
"Other Liabilities, Total",97.98,114.26
Total Liabilities,"1,346.21","1,308.16"
"Common Stock, Total",1.22,1.22
Additional Paid-In Capital,64.81,64.81
Retained Earnings (Accumulated Deficit),427.09,418.10
"Other Equity, Total",(39.14),(41.55)
Total Equity,453.97,442.58
Total Liabilities & Shareholders' Equity,"1,800.18","1,750.73"
Total Common Shares Outstanding,31.21,31.21
"Tangible Book Value per Share, Common Eq",10.86,10.64
