,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,55.31,44.11,44.15,37.44,33.03
Depreciation/Depletion,84.27,75.35,60.16,56.48,55.66
Deferred Taxes,0.96,(7.31),(1.85),(7.84),(10.42)
Non-Cash Items,68.53,74.36,61.68,53.37,54.39
Cash Taxes Paid,23.55,36.89,26.94,17.01,19.20
Cash Interest Paid,171.32,131.59,41.50,24.30,27.07
Changes in Working Capital,(35.44),(13.69),(52.72),(18.88),(11.12)
Cash from Operating Activities,173.63,172.81,111.43,120.57,121.53
Capital Expenditures,(128.52),(149.05),(142.94),(159.32),(134.79)
"Other Investing Cash Flow Items, Total",(1.06),0.23,(49.08),2.46,3.95
Cash from Investing Activities,(129.58),(148.82),(192.01),(156.86),(130.84)
Financing Cash Flow Items,(181.40),(140.83),(52.36),(21.21),(27.93)
Total Cash Dividends Paid,(14.01),(13.03),(12.82),(10.55),(11.57)
"Issuance (Retirement) of Stock, Net",1.57,0.00,(5.15),0.90,0.10
"Issuance (Retirement) of Debt, Net",117.53,197.16,155.16,64.17,95.13
Cash from Financing Activities,(76.31),43.29,84.83,33.30,55.73
Foreign Exchange Effects,(3.68),(1.44),(1.00),(0.94),1.39
Net Change in Cash,(35.93),65.84,3.24,(3.94),47.81
