,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,506.73,505.68,428.31,399.15,367.81
Total Revenue,506.73,505.68,428.31,399.15,367.81
"Cost of Revenue, Total",139.65,157.88,139.12,130.27,107.15
Gross Profit,367.08,347.80,289.20,268.88,260.66
"Selling/General/Admin. Expenses, Total",69.41,66.13,55.61,54.73,55.37
Depreciation/Amortization,83.04,76.63,57.27,52.43,47.55
"Interest Exp.(Inc.),Net-Operating, Total",(1.64),(2.54),(3.29),(3.63),(3.32)
Unusual Expense (Income),0.00,(1.79),2.23,4.87,7.28
"Other Operating Expenses, Total",93.79,101.34,74.13,79.33,75.98
Total Operating Expense,384.25,397.65,325.06,318.01,290.01
Operating Income,122.48,108.02,103.25,81.14,77.81
"Interest Inc.(Exp.),Net-Non-Op., Total",(31.56),(30.08),(22.94),(23.67),(26.38)
"Other, Net",(0.49),(0.09),3.18,0.60,(0.44)
Net Income Before Taxes,90.43,77.85,83.50,58.07,50.99
Provision for Income Taxes,26.06,23.67,29.95,11.88,8.89
Net Income After Taxes,64.37,54.18,53.55,46.20,42.11
Minority Interest,(9.05),(10.08),(9.40),(6.83),(9.08)
Net Income Before Extra. Items,55.32,44.11,44.15,39.37,33.03
Net Income,55.32,44.11,44.15,37.44,33.03
Total Adjustments to Net Income,(0.00),--,--,--,--
Income Available to Com Excl ExtraOrd,55.31,44.11,44.15,39.37,33.03
Income Available to Com Incl ExtraOrd,55.31,44.11,44.15,37.44,33.03
Diluted Net Income,55.31,44.11,44.15,44.27,33.03
Diluted Weighted Average Shares,32.16,31.56,30.72,30.25,29.90
Diluted EPS Excluding ExtraOrd Items,1.72,1.40,1.44,1.53,1.10
DPS - Common Stock Primary Issue,0.80,0.70,0.65,0.60,0.57
Diluted Normalized EPS,1.72,1.36,1.48,1.66,1.31
Total Extraordinary Items,0.00,0.00,(1.93),--,--
Dilution Adjustment,6.83,--,--,--,--
