,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,1.58,1.57,1.70,1.74,1.51
Total Revenue,1.58,1.57,1.70,1.74,1.51
"Cost of Revenue, Total",0.07,0.18,0.25,0.12,0.45
Gross Profit,1.51,1.39,1.45,1.62,1.06
"Selling/General/Admin. Expenses, Total",3.42,3.28,3.47,3.29,3.41
Research & Development,12.84,15.58,26.93,26.73,27.86
"Other Operating Expenses, Total",0.00,0.00,0.00,0.00,0.00
Total Operating Expense,16.33,19.05,30.65,30.14,31.72
Operating Income,(14.75),(17.47),(28.94),(28.40),(30.21)
"Interest Inc.(Exp.),Net-Non-Op., Total",0.13,(0.07),0.05,(0.03),(0.15)
"Other, Net",(0.42),(4.20),2.84,1.32,2.65
Net Income Before Taxes,(15.04),(21.74),(26.06),(27.12),(27.71)
Provision for Income Taxes,0.01,0.00,0.00,0.01,(0.01)
Net Income After Taxes,(15.05),(21.75),(26.06),(27.12),(27.70)
Net Income Before Extra. Items,(15.05),(21.75),(26.06),(27.12),(27.70)
Net Income,(15.05),(21.75),(26.06),(27.12),(27.70)
Total Adjustments to Net Income,0.00,0.00,--,--,--
Income Available to Com Excl ExtraOrd,(15.05),(21.75),(26.06),(27.12),(27.70)
Income Available to Com Incl ExtraOrd,(15.05),(21.75),(26.06),(27.12),(27.70)
Diluted Net Income,(15.05),(21.75),(26.06),(27.12),(27.70)
Diluted Weighted Average Shares,44.23,39.40,37.78,35.99,35.65
Diluted EPS Excluding ExtraOrd Items,(0.34),(0.55),(0.69),(0.75),(0.78)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(0.34),(0.55),(0.69),(0.75),(0.78)
