,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Revenue,0.82,0.78,0.81,0.78,0.79
Total Revenue,0.82,0.78,0.81,0.78,0.79
"Cost of Revenue, Total",(0.00),(0.01),0.07,0.06,0.12
Gross Profit,0.82,0.78,0.73,0.72,0.67
"Selling/General/Admin. Expenses, Total",1.56,1.91,1.51,1.63,1.65
Research & Development,5.30,6.72,6.12,5.98,9.60
Total Operating Expense,6.86,8.63,7.70,7.68,11.37
Operating Income,(6.04),(7.85),(6.90),(6.90),(10.58)
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.07),1.61,(1.90),(0.02),0.00
"Other, Net",1.45,(0.00),(1.82),(2.44),--
Net Income Before Taxes,(4.65),(6.25),(8.79),(8.73),(13.01)
Provision for Income Taxes,0.00,0.00,0.01,0.00,0.00
Net Income After Taxes,(4.65),(6.25),(8.80),(8.73),(13.02)
Net Income Before Extra. Items,(4.65),(6.25),(8.80),(8.73),(13.02)
Net Income,(4.65),(6.25),(8.80),(8.73),(13.02)
Total Adjustments to Net Income,(0.00),0.00,(0.00),(0.00),0.00
Income Available to Com Excl ExtraOrd,(4.66),(6.24),(8.80),(8.73),(13.02)
Income Available to Com Incl ExtraOrd,(4.66),(6.24),(8.80),(8.73),(13.02)
Diluted Net Income,(4.66),(6.24),(8.80),(8.73),(13.02)
Diluted Weighted Average Shares,46.84,49.59,38.86,40.99,37.80
Diluted EPS Excluding ExtraOrd Items,(0.10),(0.13),(0.23),(0.21),(0.34)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(0.10),(0.13),(0.23),(0.21),(0.34)
"Other Operating Expenses, Total",0.00,(0.00),--,--,--
