,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,29.30,9.77,8.00,1.88,7.94
Cash & Equivalents,0.01,0.01,5.01,15.15,15.05
Cash and Short Term Investments,29.30,9.77,13.00,17.03,22.99
"Accounts Receivable - Trade, Net",1.79,1.72,2.63,3.65,4.80
"Total Receivables, Net",8.04,8.13,7.77,3.65,4.80
Prepaid Expenses,0.32,0.34,0.20,0.20,0.05
Total Current Assets,37.67,18.24,20.98,20.88,27.84
"Property/Plant/Equipment, Total - Gross",0.60,0.57,0.51,0.39,0.33
"Accumulated Depreciation, Total",(0.50),(0.43),(0.36),(0.19),(0.16)
"Property/Plant/Equipment, Total - Net",0.10,0.13,0.15,0.20,0.19
"Goodwill, Net",32.75,32.75,32.75,32.75,32.75
"Intangibles, Net",(0.64),(0.66),(0.74),32.01,(0.74)
Long Term Investments,1.43,1.26,0.92,0.73,0.56
"Other Long Term Assets, Total",0.00,0.00,0.00,0.00,0.00
Total Assets,71.30,51.73,54.05,53.82,60.60
Accounts Payable,17.41,10.55,6.65,4.22,2.57
Accrued Expenses,1.99,1.84,1.82,1.10,0.97
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",13.25,6.82,5.93,4.29,2.21
Total Current Liabilities,32.64,19.20,14.40,9.78,5.93
Long Term Debt,33.98,20.74,10.90,0.09,0.15
Total Long Term Debt,33.98,20.74,10.90,0.09,0.15
Total Debt,33.98,20.74,10.90,0.26,0.32
"Other Liabilities, Total",0.01,0.01,0.00,0.03,0.02
Total Liabilities,66.63,39.95,25.30,9.90,6.09
"Common Stock, Total",0.14,0.12,0.10,0.10,0.10
Additional Paid-In Capital,42.07,104.69,91.04,90.39,89.77
Retained Earnings (Accumulated Deficit),(37.55),(93.03),(62.40),(46.58),(35.35)
Total Equity,4.67,11.78,28.74,43.92,54.51
Total Liabilities & Shareholders' Equity,71.30,51.73,54.05,53.82,60.60
Total Common Shares Outstanding,14.31,12.18,10.18,9.87,9.65
"Tangible Book Value per Share, Common Eq",(1.92),(1.67),(0.32),1.21,2.33
"Other Equity, Total",(0.00),--,--,--,--
"Other Current Assets, Total",(0.00),--,--,--,--
Current Port. of LT Debt/Capital Leases,0.17,0.17,0.32,--,--
