,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(38.01),(33.30),(19.11),(14.15),(18.24)
Depreciation/Depletion,0.07,0.08,0.07,0.09,0.14
Non-Cash Items,(1.55),(1.22),(0.28),0.11,0.09
Changes in Working Capital,9.67,6.96,4.71,5.50,2.54
Cash from Operating Activities,(29.82),(27.47),(14.60),(8.45),(15.61)
Capital Expenditures,(0.90),(0.94),(0.76),(0.98),(0.72)
"Other Investing Cash Flow Items, Total",0.32,0.57,0.51,0.87,0.63
Cash from Investing Activities,(0.58),(0.37),(0.25),(0.11),(0.09)
Financing Cash Flow Items,0.00,0.00,0.00,0.00,0.00
"Issuance (Retirement) of Stock, Net",26.40,13.67,0.65,0.63,0.06
"Issuance (Retirement) of Debt, Net",23.53,10.95,10.18,1.97,(0.50)
Cash from Financing Activities,49.93,24.61,10.83,2.60,(0.44)
Net Change in Cash,19.53,(3.23),(4.03),(5.96),(16.14)
