,30-Jun-21,31-Dec-20
Cash & Equivalents,"1,669.00","2,474.00"
Short Term Investments,52.00,38.00
Cash and Short Term Investments,"1,721.00","2,512.00"
"Accounts Receivable - Trade, Net",574.00,534.00
"Total Receivables, Net",574.00,534.00
Total Inventory,9.00,21.00
"Other Current Assets, Total",284.00,222.00
Total Current Assets,"2,588.00","3,289.00"
"Property/Plant/Equipment, Total - Gross","1,235.00",614.00
"Accumulated Depreciation, Total",(645.00),(372.00)
"Property/Plant/Equipment, Total - Net",589.00,619.00
"Goodwill, Net","1,862.00","1,879.00"
"Intangibles, Net","2,733.00","2,668.00"
Long Term Investments,"1,527.00","1,336.00"
Note Receivable - Long Term,238.00,201.00
"Other Long Term Assets, Total",757.00,554.00
Total Assets,"10,294.00","10,546.00"
Accounts Payable,361.00,327.00
Notes Payable/Short Term Debt,436.00,0.00
Current Port. of LT Debt/Capital Leases,219.00,"1,071.00"
"Other Current liabilities, Total","1,259.00","1,208.00"
Total Current Liabilities,"2,275.00","2,606.00"
Long Term Debt,"2,436.00","2,473.00"
Capital Lease Obligations,288.00,314.00
Total Long Term Debt,"2,724.00","2,787.00"
Total Debt,"3,379.00","3,858.00"
Deferred Income Tax,529.00,513.00
Minority Interest,69.00,66.00
"Other Liabilities, Total",510.00,482.00
Total Liabilities,"6,107.00","6,454.00"
"Common Stock, Total",786.00,784.00
Additional Paid-In Capital,"2,335.00","4,296.00"
Retained Earnings (Accumulated Deficit),67.00,"(1,988.00)"
"Other Equity, Total",999.00,"1,000.00"
Total Equity,"4,187.00","4,092.00"
Total Liabilities & Shareholders' Equity,"10,294.00","10,546.00"
Total Common Shares Outstanding,261.84,261.38
"Tangible Book Value per Share, Common Eq",(1.56),(1.74)
