,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"1,621.00","4,049.00","3,282.00","2,774.00","1,646.00"
Total Revenue,"1,621.00","4,049.00","3,282.00","2,774.00","1,646.00"
"Cost of Revenue, Total",49.00,107.00,76.00,67.00,64.00
Gross Profit,"1,572.00","3,942.00","3,206.00","2,707.00","1,582.00"
"Selling/General/Admin. Expenses, Total","1,963.00","3,117.00","2,580.00","2,084.00","1,075.00"
Depreciation/Amortization,274.00,328.00,120.00,126.00,109.00
Unusual Expense (Income),958.00,(177.00),432.00,99.00,96.00
Total Operating Expense,"3,244.00","3,375.00","3,209.00","2,376.00","1,345.00"
Operating Income,"(1,623.00)",674.00,73.00,398.00,301.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(663.00),(71.00),19.00,(23.00),(108.00)
"Other, Net",(23.00),(1.00),(2.00),(2.00),(3.00)
Net Income Before Taxes,"(2,309.00)",602.00,90.00,373.00,190.00
Provision for Income Taxes,(62.00),138.00,109.00,(43.00),(2.00)
Net Income After Taxes,"(2,247.00)",464.00,(19.00),416.00,192.00
Minority Interest,2.00,(18.00),(22.00),(36.00),(31.00)
Net Income Before Extra. Items,"(2,245.00)",446.00,(41.00),380.00,161.00
Total Extraordinary Items,257.00,17.00,"2,274.00",67.00,102.00
Net Income,"(1,988.00)",463.00,"2,233.00",447.00,263.00
Total Adjustments to Net Income,(33.00),(41.00),(37.00),(38.00),(35.00)
Income Available to Com Excl ExtraOrd,"(2,278.00)",405.00,(78.00),342.00,126.00
Income Available to Com Incl ExtraOrd,"(2,021.00)",422.00,"2,196.00",409.00,228.00
Diluted Net Income,"(2,021.00)",422.00,"2,196.00",409.00,228.73
Diluted Weighted Average Shares,262.23,272.29,288.49,288.29,259.93
Diluted EPS Excluding ExtraOrd Items,(8.69),1.49,(0.27),1.19,0.49
DPS - Common Stock Primary Issue,0.00,0.00,1.05,1.05,1.05
Diluted Normalized EPS,(6.31),0.99,0.70,1.41,0.73
"Other Operating Expenses, Total",1.00,1.00,(10.00),--,--
Dilution Adjustment,0.00,0.73,0.67,--,--
