,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,28.11,43.66,39.84,34.78,58.04
Cash and Short Term Investments,28.11,43.66,39.84,34.78,58.04
"Accounts Receivable - Trade, Net",0.00,0.36,11.92,0.03,2.46
"Total Receivables, Net",7.12,7.53,19.53,8.72,11.38
Total Inventory,0.57,0.18,0.13,0.10,0.07
Prepaid Expenses,0.55,0.80,1.05,0.65,0.19
"Other Current Assets, Total",0.09,0.05,0.43,0.44,0.33
Total Current Assets,36.45,52.22,60.98,44.69,70.01
"Property/Plant/Equipment, Total - Gross",15.59,15.53,13.90,13.16,9.95
"Accumulated Depreciation, Total",(7.05),(6.00),(5.17),(4.18),(3.25)
"Property/Plant/Equipment, Total - Net",8.53,9.53,8.73,8.98,8.45
"Intangibles, Net",0.05,0.07,0.12,0.07,0.00
Long Term Investments,0.14,0.13,0.22,0.03,0.34
Total Assets,45.17,61.95,70.04,53.76,78.80
Accounts Payable,4.94,5.33,7.55,4.93,4.57
Accrued Expenses,2.32,2.42,2.75,2.12,3.80
Notes Payable/Short Term Debt,0.93,1.14,0.00,0.24,0.11
Current Port. of LT Debt/Capital Leases,2.09,1.49,2.03,1.56,0.68
"Other Current liabilities, Total",0.45,0.85,2.53,0.04,18.85
Total Current Liabilities,10.72,11.23,14.85,8.88,28.02
Long Term Debt,25.12,18.42,4.69,5.78,6.28
Capital Lease Obligations,0.06,0.10,0.20,--,--
Total Long Term Debt,25.18,18.52,4.89,5.78,6.28
Total Debt,28.19,21.16,6.92,7.57,7.07
"Other Liabilities, Total",2.93,4.16,4.45,2.24,1.74
Total Liabilities,38.83,33.91,24.20,16.90,36.04
"Common Stock, Total",0.70,0.70,0.69,0.69,0.69
Additional Paid-In Capital,78.73,78.79,78.85,78.87,78.94
Retained Earnings (Accumulated Deficit),(73.07),(51.45),(33.69),(42.69),(36.87)
"Other Equity, Total",(0.03),0.00,(0.00),(0.01),0.01
Total Equity,6.33,28.04,45.85,36.86,42.76
Total Liabilities & Shareholders' Equity,45.17,61.95,70.04,53.76,78.80
Total Common Shares Outstanding,6.99,6.94,6.92,6.90,6.85
"Tangible Book Value per Share, Common Eq",0.90,4.03,6.61,5.33,6.25
"Other Long Term Assets, Total",0.00,0.00,0.00,(0.00),--
Deferred Income Tax,0.00,0.00,--,--,--
