,30-Jun-21,31-Dec-20
Revenue,0.40,0.22
Total Revenue,0.40,0.22
"Selling/General/Admin. Expenses, Total",0.14,0.11
Research & Development,11.35,12.65
Depreciation/Amortization,0.53,0.55
"Other Operating Expenses, Total",(1.98),(3.09)
Total Operating Expense,10.04,10.23
Operating Income,(9.64),(10.01)
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.97),(1.37)
Net Income Before Taxes,(10.60),(11.38)
Provision for Income Taxes,0.00,0.01
Net Income After Taxes,(10.60),(11.39)
Net Income Before Extra. Items,(10.60),(11.39)
Net Income,(10.60),(11.39)
Income Available to Com Excl ExtraOrd,(10.60),(11.39)
Income Available to Com Incl ExtraOrd,(10.60),(11.39)
Diluted Net Income,(10.60),(11.39)
Diluted Weighted Average Shares,7.02,6.98
Diluted EPS Excluding ExtraOrd Items,(1.51),(1.63)
DPS - Common Stock Primary Issue,0.00,0.00
Diluted Normalized EPS,(1.51),(1.63)
