NAME,AGE,POSITION,APPOINTED
Gerard Soula,76,"Chairman Of The Board, Chief Executive Officer, Member Of The Executive Committee",2018
Olivier Soula,50,"Deputy Chief Executive Officer, R&D Director, Vice President, Member Of The Executive Committee, Director",2018
Valerie Danaguezian,--,"Chief Financial Officer, Administrative And Financial Director, Member Of The Executive Committee",2019
Remi Soula,--,"Director - Business Development And Legal Affairs, Member Of The Executive Committee",2019
Laurent Arthaud,58,Director - Representative Of Bpifrance Investissement,2011
Olivier Martinez,49,Director,--
Stephane Boissel,--,Independent Director,2021
Kathy Bowdish,--,Independent Director,2021
Claudia Mitchell,--,Independent Director,2021
Ekaterina Smirnyagina,53,Independent Director,2013
Dominique Takizawa,64,Independent Director,2011
