,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"(1,374.00)","1,081.00","1,235.00","1,052.00",696.00
Depreciation/Depletion,"1,347.00",730.00,742.00,616.00,471.00
Non-Cash Items,268.00,(82.00),(142.00),(198.00),11.00
Cash Taxes Paid,59.00,321.00,281.00,313.00,226.00
Cash Interest Paid,194.00,209.00,180.00,139.00,115.00
Changes in Working Capital,55.00,(176.00),(284.00),(200.00),(303.00)
Cash from Operating Activities,296.00,"1,553.00","1,551.00","1,270.00",875.00
Capital Expenditures,(848.00),"(1,203.00)","(1,078.00)",(879.00),(792.00)
"Other Investing Cash Flow Items, Total","(1,261.00)",55.00,(558.00),(9.00),168.00
Cash from Investing Activities,"(2,109.00)","(1,148.00)","(1,636.00)",(888.00),(624.00)
Financing Cash Flow Items,14.00,(241.00),(103.00),(161.00),(84.00)
Total Cash Dividends Paid,0.00,(366.00),(342.00),(261.00),(258.00)
"Issuance (Retirement) of Stock, Net",(2.00),0.00,12.00,(24.00),--
"Issuance (Retirement) of Debt, Net","3,290.00",118.00,672.00,308.00,3.00
Cash from Financing Activities,"3,302.00",(489.00),227.00,(114.00),(327.00)
Foreign Exchange Effects,(4.00),2.00,3.00,(14.00),--
Net Change in Cash,"1,485.00",(82.00),145.00,254.00,(76.00)
