NAME,AGE,POSITION,APPOINTED
Augustin De Romanet De Beaune,59,"Chairman Of The Board, Chief Executive Officer, Chairman Of The Executive Committee",2012
Edward Arkwright,47,"Deputy Chief Executive Officer For Development, Engineering And Transformation, Member Of The Executive Committee",2016
Herve Wattecamps,62,"Member Of The Executive Committee, Director Of Human Resources",2018
Justine Coutard,35,"Member Of The Executive Committee, Chief Officer Of Paris-Orly Airport",2020
Matthieu Daubert,49,"Member Of The Executive Committee, Director Of The Customer Division",2018
Thierry De Severac,55,"Member Of The Executive Committee, Chief Engineering And Planning Officer",2019
Fernando Echegaray Del Pozo,61,"Member Of The Executive Committee, Executive Director Of General Management Of Groupe ADP Operations",2020
Elise Hermant,39,"Member Of The Executive Committee, Chief Communications Officer",2017
Marc Houalla,60,"Member Of The Executive Committee, Executive Director, Director Of Paris-Charles De Gaulle Airport",2019
Xavier Hurstel,52,"Member Of The Executive Committee, Executive Director In Charge Of Coordinating The Group’S Development Operations",2020
Gilles Leveque,61,"Member Of The Executive Committee, Chief Information Systems Officer",--
Alexandra Locquet,42,"Member Of The Executive Committee, Chief Audit, Security And Risk Management Officer",2020
Amelie Lummaux,35,"Member Of The Executive Committee, Chief Officer Of Sustainable Development And Public Affairs",2020
Philippe Eric Pascal,49,"Member Of The Executive Committee, Executive Director – Finance, Strategy And Administration",2016
Marine Ulivieri,--,"Member Of The Executive Board, Director Of Real Estate",2021
Jean-Benoit Albertini,58,"Director, Representative Of The French State",2020
Dick Benschop,63,Director,2019
Brigitte Blanc,58,"Director, Employees' Representative",2014
Isabelle Bui,39,Director,2019
Genevieve Chaux Debry,63,"Director, Representative Of French State",2014
Faycal Dekkiche,55,"Director, Employees' Representative",2019
Nancy Dunant,58,"Director, Employees' Representative",2019
Frederic Gillet,49,"Director, Employees' Representative",2014
Jean-Paul Jouvent,60,"Director, Employees' Representative",2008
Fanny Letier,42,"Director, Representative Of French State",2019
Michel Massoni,70,"Director, Representative Of The French State",2013
Jacoba Van Der Meijs,55,Director,2017
Perrine Vidalenche,64,"Director, Representative Of The French State",2017
Joel Vidy,60,"Director, Employees' Representative",2018
Francoise Debrus,61,"Independent Director, Permanent Representative Of Predica",2016
Jacques Gounon,68,"Independent Director, Senior Director",2019
