,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17
Cash,"4,173.00","1,649.00","1,862.00","3,672.00"
Cash & Equivalents,"10,266.00","7,665.00","7,551.00","8,344.00"
Short Term Investments,"2,387.00","3,219.00","3,064.00","2,480.00"
Cash and Short Term Investments,"16,826.00","12,533.00","12,477.00","14,496.00"
"Accounts Receivable - Trade, Net","6,206.00","6,841.00","6,867.00","5,983.00"
"Total Receivables, Net","9,009.00","11,025.00","12,655.00","9,781.00"
Total Inventory,"30,401.00","31,550.00","31,891.00","29,737.00"
Prepaid Expenses,191.00,147.00,121.00,146.00
"Other Current Assets, Total","1,973.00","1,468.00","1,156.00","1,562.00"
Total Current Assets,"58,400.00","56,723.00","58,300.00","55,722.00"
"Property/Plant/Equipment, Total - Gross","41,852.00","41,312.00","38,249.00","36,754.00"
"Accumulated Depreciation, Total","(25,178.00)","(24,018.00)","(21,476.00)","(20,144.00)"
"Property/Plant/Equipment, Total - Net","16,674.00","17,294.00","16,773.00","16,610.00"
"Goodwill, Net","12,999.00","13,019.00","13,039.00","9,141.00"
"Intangibles, Net","3,200.00","3,572.00","3,687.00","2,488.00"
Long Term Investments,"10,817.00","17,184.00","16,246.00","16,847.00"
Note Receivable - Long Term,48.00,91.00,65.00,1.00
"Other Long Term Assets, Total","7,957.00","6,526.00","7,088.00","8,640.00"
Total Assets,"110,095.00","114,409.00","115,198.00","109,449.00"
Accounts Payable,"8,722.00","14,808.00","16,237.00","13,406.00"
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,"3,213.00","2,511.00","1,807.00","2,576.00"
"Other Current liabilities, Total","37,836.00","45,055.00","42,310.00","39,797.00"
Total Current Liabilities,"49,771.00","62,374.00","60,354.00","55,779.00"
Long Term Debt,"16,256.00","10,616.00","11,389.00","14,196.00"
Capital Lease Obligations,"1,538.00","1,298.00",307.00,325.00
Total Long Term Debt,"17,794.00","11,914.00","11,696.00","14,521.00"
Total Debt,"21,007.00","14,425.00","13,503.00","17,097.00"
Deferred Income Tax,451.00,398.00,"1,318.00","1,002.00"
Minority Interest,11.00,15.00,(5.00),2.00
"Other Liabilities, Total","35,623.00","33,733.00","32,111.00","27,405.00"
Total Liabilities,"103,650.00","108,434.00","105,474.00","98,709.00"
"Common Stock, Total",785.00,784.00,777.00,775.00
Additional Paid-In Capital,"3,599.00","3,555.00","2,941.00","2,826.00"
Retained Earnings (Accumulated Deficit),250.00,"2,241.00","5,923.00","4,399.00"
Treasury Stock - Common,(42.00),(82.00),(51.00),(2.00)
Unrealized Gain (Loss),648.00,819.00,492.00,"1,139.00"
"Other Equity, Total","1,205.00","(1,342.00)",(358.00),"1,603.00"
Total Equity,"6,445.00","5,975.00","9,724.00","10,740.00"
Total Liabilities & Shareholders' Equity,"110,095.00","114,409.00","115,198.00","109,449.00"
Total Common Shares Outstanding,783.72,782.31,775.73,774.43
"Tangible Book Value per Share, Common Eq",(12.45),(13.57),(9.03),(1.15)
