,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"49,912.00","70,478.00","63,707.00","59,022.00","66,581.00"
Total Revenue,"49,912.00","70,478.00","63,707.00","59,022.00","66,581.00"
"Cost of Revenue, Total","44,250.00","59,973.00","54,920.00","52,149.00","61,317.00"
Gross Profit,"5,662.00","10,505.00","8,787.00","6,873.00","5,264.00"
"Selling/General/Admin. Expenses, Total","2,140.00","6,125.00","2,435.00","2,439.00","2,723.00"
Research & Development,"2,858.00","3,358.00","3,217.00","2,807.00","2,970.00"
"Interest Exp.(Inc.),Net-Operating, Total",(39.00),(299.00),(330.00),(311.00),(571.00)
Unusual Expense (Income),"1,202.00",(57.00),(159.00),(604.00),"(1,849.00)"
"Other Operating Expenses, Total",11.00,39.00,"(1,424.00)",(123.00),(267.00)
Total Operating Expense,"50,422.00","69,139.00","58,659.00","56,357.00","64,323.00"
Operating Income,(510.00),"1,339.00","5,048.00","2,665.00","2,258.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(188.00),(224.00),(810.00),283.00,(865.00)
"Other, Net",(432.00),(51.00),47.00,878.00,(102.00)
Net Income Before Taxes,"(1,130.00)","1,064.00","4,285.00","3,826.00","1,291.00"
Provision for Income Taxes,39.00,"2,389.00","1,274.00","1,462.00",291.00
Net Income After Taxes,"(1,169.00)","(1,325.00)","3,011.00","2,364.00","1,000.00"
Minority Interest,36.00,(37.00),43.00,(3.00),(5.00)
Net Income Before Extra. Items,"(1,133.00)","(1,362.00)","3,054.00","2,361.00",995.00
Net Income,"(1,133.00)","(1,362.00)","3,054.00","2,361.00",995.00
Income Available to Com Excl ExtraOrd,"(1,133.00)","(1,362.00)","3,054.00","2,361.00",995.00
Income Available to Com Incl ExtraOrd,"(1,133.00)","(1,362.00)","3,054.00","2,361.00",995.00
Diluted Net Income,"(1,133.00)","(1,362.00)","3,054.00","2,368.00",995.00
Diluted Weighted Average Shares,783.18,777.04,780.94,779.30,779.11
Diluted EPS Excluding ExtraOrd Items,(1.45),(1.75),3.91,3.04,1.28
DPS - Common Stock Primary Issue,0.00,0.00,1.40,1.28,1.35
Diluted Normalized EPS,0.39,2.94,4.42,2.56,(0.27)
Dilution Adjustment,7.00,3.00,--,--,--
