,30-Sep-21,30-Jun-21,31-Mar-21,31-Dec-20,30-Sep-20
Revenue,"10,518.00","14,177.00","10,460.00","19,751.00","11,213.00"
Total Revenue,"10,518.00","14,177.00","10,460.00","19,751.00","11,213.00"
"Cost of Revenue, Total","8,730.00","10,895.00","8,981.00","16,726.00","9,528.00"
Gross Profit,"1,788.00","3,282.00","1,479.00","3,025.00","1,685.00"
"Selling/General/Admin. Expenses, Total",497.00,446.00,510.00,556.00,451.00
Research & Development,657.00,642.00,620.00,826.00,636.00
"Interest Exp.(Inc.),Net-Operating, Total",(33.00),10.00,(9.00),(84.00),27.00
"Other Operating Expenses, Total",(43.00),(81.00),(104.00),50.00,(3.00)
Total Operating Expense,"9,808.00","11,912.00","9,998.00","18,076.00","11,839.00"
Operating Income,710.00,"2,265.00",462.00,"1,675.00",(626.00)
"Interest Inc.(Exp.),Net-Non-Op., Total",(61.00),(90.00),(82.00),(59.00),(83.00)
"Other, Net",(81.00),1.00,141.00,151.00,(200.00)
Net Income Before Taxes,568.00,"2,176.00",521.00,"1,767.00",(909.00)
Provision for Income Taxes,183.00,318.00,175.00,236.00,(133.00)
Net Income After Taxes,385.00,"1,858.00",346.00,"1,531.00",(776.00)
Minority Interest,19.00,11.00,16.00,22.00,9.00
Net Income Before Extra. Items,404.00,"1,869.00",362.00,"1,553.00",(767.00)
Net Income,404.00,"1,869.00",362.00,"1,553.00",(767.00)
Income Available to Com Excl ExtraOrd,404.00,"1,869.00",362.00,"1,553.00",(767.00)
Income Available to Com Incl ExtraOrd,404.00,"1,869.00",362.00,"1,553.00",(767.00)
Diluted Net Income,404.00,"1,869.00",362.00,"1,553.00",(767.00)
Diluted Weighted Average Shares,792.16,785.29,784.53,783.67,782.65
Diluted EPS Excluding ExtraOrd Items,0.51,2.38,0.46,1.98,(0.98)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,0.51,2.38,0.46,2.15,0.02
Unusual Expense (Income),2.00,"1,200.00",--,--,--
