TITLE,SUMMARY,DATE
Airbus Delivers 36 Aircraft To 23 Customers In October,Nov 5 (Reuters) - Airbus SE <AIR.PA>::OCTOBER 2021 DELIVERIES: 36 TO 23 CUSTOMERS.OCTOBER 2021 ORDERS: 22.2021 DELIVERIES TO DATE: 460 TO 76 CUSTOMERS.BOOKS 292 GROSS AIRCRAFT ORDERS IN JAN-OCT.BOOKS 125 NET AIRCRAFT ORDERS IN JAN-OCT.DELIVERS 460 AIRCRAFT IN JAN-OCT.DELIVERS 37 A350 AIRCRAFT IN JAN-OCT.DELIVERS 200 A320NEO AIRCRAFT IN JAN-OCT.DELIVERS 149 A321NEO AIRCRAFT IN JAN-OCT.,3 days ago
Lufthansa CEO Says We Expect Profit Next Year,"Nov 3 (Reuters) - LUFTHANSA <LHAG.DE>::AIRBUS SHOULD NOT EXAGGERATE PRODUCTION CAPACITY AND SHOULD ALIGN (IN THE DISPUTE) WITH LEASING AND SUPPLIERS.WE WOULD BE MORE PARTNER THAN OPPONENT OF ITALIAN AIRLINE ITA, BUT NO SHAREHOLDER.EXPECT PROFIT NEXT YEAR.Further company coverage: LHAG.DE. (Berlin Speed Desk). ((frankfurt.newsroom@thomsonreuters.com;)).",4 days ago
Airbus defence head says optimistic of fair chance in next U.S. tanker competition,"Nov 3 (Reuters) - Michael Schoellhorn, chief executive of Airbus Defence & Space, said on Wednesday::OPTIMISTIC AIRBUS AND LOCKHEED HAVE FAIR CHANCE IN NEXT U.S. TANKER COMPETITION VERSUS BOEING <<<BA.N>>> BUT OUTCOME NOT A GIVEN.AIRBUS DEFENCE HEAD, ASKED ABOUT M&A, SAYS SEES MORE POTENTIAL PARTNERSHIPS AT PROJECT LEVEL, NOTHING CONCRETE PLANNED SO FAR.AIRBUS DEFENCE HEAD SAYS STARTED TO HIRE AGAIN, SEEING A LOT MORE FLUCTUATION IN LABOUR MARKET.AIRBUS DEFENCE HEAD SAYS THERE IS A WAR FOR TALENT IN LABOUR MARKET, ESPECIALLY IN CYBER, SOFTWARE AND LEADING-EDGE TECHNOLOGIES.AIRBUS DEFENCE HEAD SAYS FUTURE OF PROPOSED FRANCO-GERMAN MARITIME PATROL SYSTEM (MAWS) IS MORE DIFFICULT AFTER GERMANY ORDERED BOEING P-8 AIRCRAFT.",5 days ago
Airbus' NAVBLUE And ENAC Sign Partnership Agreement,"Nov 3 (Reuters) - AIRBUS SE <AIR.PA>::NAVBLUE, AN AIRBUS SUBSIDIARY, AND ENAC SIGN A PARTNERSHIP AGREEMENT TO DEVELOP NEW SOLUTIONS FOR THE AVIATION OF TOMORROW.Further company coverage: AIR.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 587 696 600;)).",5 days ago
Airbus Group Sees 2021 EBIT Adjusted Of Eur 4.5 Billion,"Oct 28 (Reuters) - Airbus Group <AIR.PA>::DGAP-ADHOC: AIRBUS SE: AIRBUS REPORTS NINE-MONTH (9M) 2021 RESULTS.424 COMMERCIAL AIRCRAFT DELIVERED IN 9M 2021.9M FINANCIALS REFLECT DELIVERIES AS WELL AS EFFORTS ON COST CONTAINMENT AND COMPETITIVENESS.FREE CASH FLOW BEFORE M&A AND CUSTOMER FINANCING EUR 2.3 BILLION.9M REVENUES EUR 35.2 BILLION; EBIT ADJUSTED EUR 3.4 BILLION.2021 GUIDANCE UNCHANGED FOR COMMERCIAL AIRCRAFT DELIVERIES, UPDATED FOR EBIT ADJUSTED AND FCF BEFORE M&A AND CUSTOMER FINANCING.9M EBIT (REPORTED) EUR 3.4 BILLION; EPS (REPORTED) EUR 3.36.A220 PRODUCTION RATE, WHICH IS CURRENTLY AT 5 AIRCRAFT A MONTH, IS EXPECTED TO INCREASE TO AROUND RATE 6 PER MONTH IN EARLY 2022.9M FREE CASH FLOW BEFORE M&A AND CUSTOMER FINANCING EUR 2.3 BILLION.2021 GUIDANCE UNCHANGED FOR COMMERCIAL AIRCRAFT DELIVERIES, UPDATED FOR EBIT ADJUSTED AND FCF BEFORE M&A AND CUSTOMER FINANCING.ON A320 FAMILY PROGRAMME, COMPANY IS WORKING TO SECURE RAMP UP AND IS ON TRAJECTORY TO ACHIEVE A MONTHLY RATE OF 65 AIRCRAFT BY SUMMER 2023..A350 PROGRAMME IS EXPECTED TO INCREASE FROM AROUND 5 TO AROUND 6 AIRCRAFT A MONTH IN EARLY 2023..9M GROSS COMMERCIAL AIRCRAFT ORDERS TOTALLED 270 (9M 2020: 370 AIRCRAFT) WITH NET ORDERS OF 133 AIRCRAFT AFTER CANCELLATIONS (9M 2020: 300 AIRCRAFT).SEES 600 COMMERCIAL AIRCRAFT DELIVERIES FOR 2021.ON 30 SEPTEMBER 2021, GROSS CASH POSITION STOOD AT EUR 21.7 BILLION (YEAR-END 2020: EUR 21.4 BILLION).SEES EBIT ADJUSTED OF EUR 4.5 BILLION FOR 2021.",11 days ago
Airbus To Collaborate With UAE Space Centre On its Lunar Mission,Oct 27 (Reuters) - Airbus SE <AIR.PA>::MOHAMMED BIN RASHID SPACE CENTRE (MBRSC) SIGNED A MEMORANDUM OF UNDERSTANDING WITH AIRBUS .TO COLLABORATE ON EMIRATES LUNAR MISSION IN FIELD OF MATERIAL TESTING IN-SITU ON SURFACE OF MOON BY MEANS OF MATERIAL ADHESIVE DEMONSTRATION (MAD) EXPERIMENT.,11 days ago
Breeze Airways Unveils First Of 80 Airbus A220s On Order,"Oct 26 (Reuters) - Airbus SE <AIR.PA>::BREEZE AIRWAYS (BREEZE) UNVEILED ITS FIRST OF 80 A220-300 AIRCRAFT ON ORDER DURING A PREVIEW EVENT AT AIRBUS A220 FINAL ASSEMBLY LINE IN MOBILE, ALABAMA.AIRCRAFT IS EXPECTED TO BE DELIVERED TO BREEZE IN COMING WEEK.FIRST A220 IS EXPECTED TO ENTER SERVICE IN Q2 2022.AS OF END OF SEPTEMBER 2021, OVER 170 A220S HAVE BEEN DELIVERED TO 12 OPERATORS WORLDWIDE.Further company coverage: AIR.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 769 66 00;)).",12 days ago
Airbus Receives First A320 Flight Hour Services Maintenance Contract In Europe,Oct 20 (Reuters) - Airbus SE <AIR.PA>::RECEIVES FIRST A320 FLIGHT HOUR SERVICES MAINTENANCE CONTRACT IN EUROPE TO SUPPORT FINNAIR’S ENTIRE SINGLE AISLE FLEET.,18 days ago
Airbus Group Delivers 424 Aircrafts In January-September,Oct 11 (Reuters) - Airbus SE <AIR.PA>::BOOKS 270 GROSS AIRCRAFT ORDERS IN JAN-SEPT.BOOKS 133 NET AIRCRAFT ORDERS IN JAN-SEPT.SAYS DELIVERS 424 AIRCRAFT IN JAN-SEPT.SAYS DELIVERS 36 A350 AIRCRAFT IN JAN-SEPT.SAYS DELIVERS 183 A320NEO AIRCRAFT IN JAN-SEPT.SAYS DELIVERS 137 A321NEO AIRCRAFT IN JAN-SEPT.Further company coverage: AIR.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).,a month ago
Global Medical Response Orders 21 New Helicopters from Airbus,"Oct 7 (Reuters) - Airbus SE <AIR.PA>::GLOBAL MEDICAL RESPONSE ORDERS 21 NEW AIRBUS HELICOPTERS.THIS ANNOUNCEMENT EXPANDS UPON ADDITIONAL ORDERS FROM GMR IN RECENT YEARS AS PART OF AN ONGOING FLEET EXPANSION.DEAL WITH OPTIONS TO INCLUDE UP TO AN ADDITIONAL 23 HELICOPTERS, BRINGING THE TOTAL ORDER POTENTIAL UP TO 44 HELICOPTERS.Further company coverage: AIR.PA. (Gdansk Newsroom). ((Gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",a month ago
