,30-Sep-21,30-Jun-21,31-Mar-21,31-Dec-20,30-Sep-20
Cash,"1,623.00","1,689.00","1,441.00","1,502.00","1,896.00"
Cash & Equivalents,"5,369.00","4,346.00","3,618.00","4,921.00","4,021.00"
Short Term Investments,495.00,540.00,615.00,607.00,443.00
Cash and Short Term Investments,"7,487.00","6,575.00","5,674.00","7,030.00","6,360.00"
"Accounts Receivable - Trade, Net","1,621.00","1,530.00","1,340.00","1,248.00","1,208.00"
"Total Receivables, Net","1,621.00","1,530.00","1,340.00","1,942.00","1,731.00"
Total Inventory,580.00,519.00,529.00,543.00,561.00
"Other Current Assets, Total","1,454.00","1,455.00","1,279.00",160.00,100.00
Total Current Assets,"11,142.00","10,079.00","8,822.00","9,895.00","9,012.00"
"Property/Plant/Equipment, Total - Net","16,957.00","17,131.00","17,071.00","17,257.00","17,333.00"
"Goodwill, Net",221.00,221.00,221.00,215.00,216.00
"Intangibles, Net","1,234.00","1,243.00","1,259.00","1,230.00","1,253.00"
Long Term Investments,"1,023.00",961.00,"1,031.00","1,025.00","1,228.00"
"Other Long Term Assets, Total",413.00,375.00,912.00,589.00,541.00
Total Assets,"30,990.00","30,010.00","29,316.00","30,211.00","29,585.00"
Accounts Payable,"1,875.00","1,604.00","1,372.00","1,435.00","1,555.00"
Accrued Expenses,"1,034.00",938.00,"1,173.00","1,241.00","1,658.00"
Notes Payable/Short Term Debt,2.00,2.00,4.00,1.00,1.00
Current Port. of LT Debt/Capital Leases,"1,538.00","1,562.00","1,999.00","2,050.00","3,057.00"
"Other Current liabilities, Total","6,456.00","6,912.00","6,587.00","7,051.00","8,167.00"
Total Current Liabilities,"10,905.00","11,018.00","11,135.00","11,778.00","14,438.00"
Long Term Debt,"8,994.00","8,242.00","11,198.00","11,263.00","7,636.00"
Capital Lease Obligations,"5,748.00","5,694.00","5,639.00","5,333.00","5,812.00"
Total Long Term Debt,"14,742.00","13,936.00","16,837.00","16,596.00","13,448.00"
Total Debt,"16,282.00","15,500.00","18,840.00","18,647.00","16,506.00"
Deferred Income Tax,5.00,4.00,136.00,22.00,5.00
Minority Interest,8.00,8.00,9.00,9.00,9.00
"Other Liabilities, Total","9,149.00","8,656.00","7,701.00","7,233.00","6,367.00"
Total Liabilities,"34,809.00","33,622.00","35,818.00","35,638.00","34,267.00"
"Common Stock, Total",643.00,643.00,429.00,429.00,429.00
Additional Paid-In Capital,"4,949.00","4,949.00","4,139.00","4,139.00","4,139.00"
Retained Earnings (Accumulated Deficit),"(11,684.00)","(11,441.00)","(11,045.00)","(8,219.00)","(9,183.00)"
Treasury Stock - Common,(25.00),(25.00),(25.00),(25.00),(67.00)
Unrealized Gain (Loss),(53.00),(51.00),(52.00),--,--
"Other Equity, Total","2,351.00","2,313.00",0.00,"(1,699.00)",0.00
Total Equity,"(3,819.00)","(3,612.00)","(6,502.00)","(5,427.00)","(4,682.00)"
Total Liabilities & Shareholders' Equity,"30,990.00","30,010.00","29,316.00","30,211.00","29,585.00"
Total Common Shares Outstanding,641.43,641.43,427.43,427.43,427.43
"Tangible Book Value per Share, Common Eq",(8.22),(7.91),(18.67),(16.08),(14.39)
"Property/Plant/Equipment, Total - Gross","30,509.00","30,981.00",--,--,--
"Accumulated Depreciation, Total","(13,378.00)","(13,724.00)",--,--,--
Prepaid Expenses,220.00,260.00,--,--,--
Note Receivable - Long Term,2.00,--,--,--,--
