,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"11,088.00","27,189.00","26,227.00","25,867.00","24,846.00"
Total Revenue,"11,088.00","27,189.00","26,227.00","25,867.00","24,846.00"
"Cost of Revenue, Total","7,051.00","13,760.00","12,921.00","12,339.00","14,431.00"
Gross Profit,"4,037.00","13,429.00","13,306.00","13,528.00","10,415.00"
"Selling/General/Admin. Expenses, Total","6,950.00","9,338.00","9,002.00","8,716.00","8,543.00"
Depreciation/Amortization,"2,736.00","2,941.00","2,870.00","2,756.00","1,571.00"
"Interest Exp.(Inc.),Net-Operating, Total",(79.00),(64.00),16.00,(10.00),(288.00)
Unusual Expense (Income),401.00,131.00,12.00,"1,907.00",74.00
"Other Operating Expenses, Total",29.00,73.00,13.00,143.00,(593.00)
Total Operating Expense,"17,088.00","26,179.00","24,834.00","25,851.00","23,738.00"
Operating Income,"(6,000.00)","1,010.00","1,393.00",16.00,"1,108.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(682.00),(430.00),(583.00),239.00,(238.00)
"Other, Net",(246.00),(234.00),(179.00),(126.00),(47.00)
Net Income Before Taxes,"(6,928.00)",346.00,631.00,129.00,823.00
Provision for Income Taxes,97.00,76.00,224.00,(21.00),294.00
Net Income After Taxes,"(7,025.00)",270.00,407.00,150.00,529.00
Minority Interest,5.00,(3.00),(2.00),0.00,0.00
Equity In Affiliates,(58.00),23.00,15.00,21.00,(7.00)
Net Income Before Extra. Items,"(7,078.00)",290.00,420.00,171.00,522.00
Net Income,"(7,078.00)",290.00,420.00,163.00,792.00
Total Adjustments to Net Income,0.00,(17.00),(25.00),(25.00),--
Income Available to Com Excl ExtraOrd,"(7,078.00)",273.00,395.00,146.00,522.00
Income Available to Com Incl ExtraOrd,"(7,078.00)",273.00,395.00,138.00,792.00
Diluted Net Income,"(7,078.00)",285.00,395.00,138.00,792.00
Diluted Weighted Average Shares,427.43,455.33,427.43,370.59,349.61
Diluted EPS Excluding ExtraOrd Items,(16.56),0.63,0.92,0.39,1.49
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(15.95),0.85,0.94,3.74,1.63
Dilution Adjustment,12.00,0.00,0.00,0.00,--
Total Extraordinary Items,(8.00),270.00,26.00,--,--
