,30-Jun-21,31-Dec-20
Cash & Equivalents,"1,387.30","1,791.40"
Cash and Short Term Investments,"1,387.30","1,791.40"
"Accounts Receivable - Trade, Net","2,500.40","2,205.80"
"Total Receivables, Net","2,597.30","2,296.20"
Total Inventory,"1,481.60","1,405.90"
"Other Current Assets, Total",835.60,781.80
Total Current Assets,"6,301.80","6,275.30"
"Property/Plant/Equipment, Total - Net","21,360.00","20,002.90"
"Goodwill, Net","13,435.40","13,087.40"
"Intangibles, Net","1,413.90","1,397.80"
Long Term Investments,778.60,763.40
"Other Long Term Assets, Total",409.30,450.30
Total Assets,"43,699.00","41,977.10"
Accounts Payable,"2,608.40","2,437.90"
Notes Payable/Short Term Debt,657.70,201.80
Current Port. of LT Debt/Capital Leases,"2,891.30","2,158.00"
"Other Current liabilities, Total","2,342.70","2,438.40"
Total Current Liabilities,"8,500.10","7,236.10"
Long Term Debt,"10,007.30","10,162.00"
Capital Lease Obligations,993.80,969.40
Total Long Term Debt,"11,001.10","11,131.40"
Total Debt,"14,550.10","13,491.20"
Deferred Income Tax,"1,936.30","1,871.50"
Minority Interest,500.20,462.30
"Other Liabilities, Total","2,687.50","2,733.50"
Total Liabilities,"24,625.20","23,434.80"
"Common Stock, Total","2,606.50","2,605.10"
Additional Paid-In Capital,"2,624.80","2,608.10"
Retained Earnings (Accumulated Deficit),"14,022.40","13,468.90"
Treasury Stock - Common,(179.90),(139.80)
Total Equity,"19,073.80","18,542.30"
Total Liabilities & Shareholders' Equity,"43,699.00","41,977.10"
Total Common Shares Outstanding,472.08,472.14
"Tangible Book Value per Share, Common Eq",8.95,8.59
