,30-Jun-21,31-Dec-20
Net Income/Starting Line,"1,239.30","2,435.10"
Depreciation/Depletion,"1,048.90","2,137.90"
Deferred Taxes,(14.60),(68.40)
Non-Cash Items,209.80,427.80
Cash Interest Paid,163.30,291.70
Changes in Working Capital,(293.00),273.30
Cash from Operating Activities,"2,190.40","5,205.70"
Capital Expenditures,"(1,439.00)","(2,630.20)"
"Other Investing Cash Flow Items, Total",(437.10),675.60
Cash from Investing Activities,"(1,876.10)","(1,954.60)"
Financing Cash Flow Items,(233.50),(386.30)
Total Cash Dividends Paid,"(1,332.70)","(1,307.90)"
"Issuance (Retirement) of Stock, Net",(17.60),(6.20)
"Issuance (Retirement) of Debt, Net",756.50,(727.20)
Cash from Financing Activities,(827.30),"(2,427.60)"
Foreign Exchange Effects,60.70,(1.40)
Net Change in Cash,(452.30),822.10
