,30-Jun-21,31-Dec-20
Revenue,"10,845.70","10,212.40"
Total Revenue,"10,845.70","10,212.40"
"Cost of Revenue, Total","4,078.60","3,566.40"
Gross Profit,"6,767.10","6,646.00"
"Selling/General/Admin. Expenses, Total","2,129.20","2,056.70"
Depreciation/Amortization,"1,048.90","1,053.60"
Unusual Expense (Income),40.20,47.30
"Other Operating Expenses, Total","1,641.30","1,559.20"
Total Operating Expense,"8,938.20","8,283.20"
Operating Income,"1,907.50","1,929.20"
"Interest Inc.(Exp.),Net-Non-Op., Total",(140.70),(182.30)
"Other, Net",(46.80),(41.60)
Net Income Before Taxes,"1,720.00","1,705.30"
Provision for Income Taxes,425.30,297.40
Net Income After Taxes,"1,294.70","1,407.90"
Minority Interest,(53.80),(46.70)
Equity In Affiliates,(1.60),(4.50)
Net Income Before Extra. Items,"1,239.30","1,356.70"
Net Income,"1,239.30","1,356.70"
Income Available to Com Excl ExtraOrd,"1,239.30","1,356.70"
Income Available to Com Incl ExtraOrd,"1,239.30","1,356.70"
Dilution Adjustment,(157.84),--
Diluted Net Income,"1,081.46","1,356.70"
Diluted Weighted Average Shares,474.33,475.26
Diluted EPS Excluding ExtraOrd Items,2.28,2.85
DPS - Common Stock Primary Issue,0.00,2.75
Diluted Normalized EPS,2.34,2.94
