,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,467.97,467.96,271.54,430.76,152.71
Cash & Equivalents,0.00,1.28,0.24,0.14,6.25
Cash and Short Term Investments,467.97,469.23,271.79,430.89,158.96
"Accounts Receivable - Trade, Net",191.99,224.81,261.91,232.58,197.31
"Total Receivables, Net",268.16,339.66,348.02,330.65,306.31
Total Inventory,9.52,9.50,12.72,6.21,4.74
Total Current Assets,745.64,818.39,632.52,767.75,470.01
"Property/Plant/Equipment, Total - Gross",363.07,376.00,212.71,201.24,166.04
"Accumulated Depreciation, Total",(145.59),(134.35),(121.55),(118.31),(110.52)
"Property/Plant/Equipment, Total - Net",217.48,241.65,91.16,82.93,55.52
"Goodwill, Net",691.39,367.69,360.85,285.65,218.18
"Intangibles, Net",112.47,24.73,19.99,17.37,17.14
Long Term Investments,98.06,92.78,86.57,80.45,27.77
"Other Long Term Assets, Total",110.11,60.06,65.20,62.55,62.86
Total Assets,"1,975.15","1,605.30","1,256.29","1,296.69",851.48
Accounts Payable,125.37,114.56,118.06,86.23,80.54
Accrued Expenses,279.15,217.51,212.81,208.14,195.15
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,43.73,104.49,71.16,109.90,14.75
"Other Current liabilities, Total",137.75,57.47,75.39,79.97,65.22
Total Current Liabilities,585.99,494.03,477.40,484.24,355.66
Long Term Debt,635.52,463.47,479.86,516.02,241.34
Capital Lease Obligations,114.67,127.66,0.00,--,--
Total Long Term Debt,750.19,591.13,479.86,516.02,241.34
Total Debt,793.92,695.62,551.02,625.92,256.09
Deferred Income Tax,31.55,12.94,13.67,4.47,1.87
Minority Interest,2.43,0.64,0.31,34.50,29.53
"Other Liabilities, Total",114.80,28.97,26.69,25.71,23.12
Total Liabilities,"1,484.96","1,127.70",997.92,"1,064.94",651.52
"Common Stock, Total",47.75,31.05,31.05,31.05,31.03
Additional Paid-In Capital,183.72,0.66,0.66,0.00,0.00
Retained Earnings (Accumulated Deficit),82.68,272.98,226.67,200.71,168.94
"Other Equity, Total",176.04,172.91,0.00,0.00,--
Total Equity,490.19,477.60,258.37,231.76,199.96
Total Liabilities & Shareholders' Equity,"1,975.15","1,605.30","1,256.29","1,296.69",851.48
Total Common Shares Outstanding,30.57,21.83,21.61,21.63,21.63
"Tangible Book Value per Share, Common Eq",(10.26),3.90,(5.67),(3.29),(1.64)
"Other Current Assets, Total",(0.00),(0.00),--,--,--
