,30-Jun-21,31-Dec-20
Revenue,769.57,725.49
Total Revenue,769.57,725.49
"Selling/General/Admin. Expenses, Total",600.54,543.03
Depreciation/Amortization,34.60,40.10
"Interest Exp.(Inc.),Net-Operating, Total",(1.33),(1.42)
"Other Operating Expenses, Total",149.99,248.16
Total Operating Expense,783.79,829.86
Operating Income,(14.22),(104.38)
"Interest Inc.(Exp.),Net-Non-Op., Total",(9.01),(9.74)
"Other, Net",(0.40),(4.86)
Net Income Before Taxes,(23.62),(118.98)
Provision for Income Taxes,5.54,(7.85)
Net Income After Taxes,(29.16),(111.12)
Minority Interest,(0.33),(0.27)
Net Income Before Extra. Items,(29.49),(111.39)
Net Income,(29.49),(111.39)
Total Adjustments to Net Income,(0.00),(0.00)
Income Available to Com Excl ExtraOrd,(29.49),(111.40)
Income Available to Com Incl ExtraOrd,(29.49),(111.40)
Diluted Net Income,(29.49),(111.40)
Diluted Weighted Average Shares,30.72,20.65
Diluted EPS Excluding ExtraOrd Items,(0.96),(5.39)
DPS - Common Stock Primary Issue,0.00,0.00
Diluted Normalized EPS,(0.96),(5.39)
