,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,175.12,104.94,92.70,108.19,114.59
Cash and Short Term Investments,175.12,104.94,92.70,108.19,114.59
"Accounts Receivable - Trade, Net",186.13,187.72,183.30,174.72,155.58
"Total Receivables, Net",234.16,233.45,228.78,208.73,194.34
Total Inventory,127.91,145.67,136.62,125.40,98.92
Prepaid Expenses,32.35,21.08,5.32,5.57,5.33
Total Current Assets,569.54,505.14,463.41,447.89,413.19
"Property/Plant/Equipment, Total - Gross",697.78,694.71,640.85,576.28,517.71
"Accumulated Depreciation, Total",(418.03),(389.13),(357.06),(331.71),(317.07)
"Property/Plant/Equipment, Total - Net",279.75,305.58,283.79,244.57,200.64
"Goodwill, Net",36.28,45.20,46.71,51.54,55.48
"Intangibles, Net",1.47,0.89,1.14,1.29,2.03
Long Term Investments,1.75,1.53,3.22,0.75,1.05
"Other Long Term Assets, Total",5.70,6.73,8.66,8.83,7.44
Total Assets,894.50,865.07,806.93,754.86,679.83
Accounts Payable,116.59,117.35,121.35,122.32,104.49
Accrued Expenses,42.52,43.12,38.68,37.68,35.60
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,75.37,64.66,46.89,46.95,37.56
"Other Current liabilities, Total",25.03,20.05,44.06,32.44,34.83
Total Current Liabilities,259.52,245.17,250.98,239.39,212.48
Long Term Debt,31.99,64.32,86.41,86.59,90.38
Capital Lease Obligations,7.16,10.64,--,--,--
Total Long Term Debt,39.15,74.97,86.41,86.59,90.38
Total Debt,114.52,139.62,133.30,133.54,127.94
Deferred Income Tax,9.17,7.16,5.16,5.75,3.38
Minority Interest,1.51,1.47,0.94,0.14,(0.02)
"Other Liabilities, Total",45.52,30.13,10.35,13.69,11.45
Total Liabilities,354.86,358.89,353.84,345.55,317.67
"Common Stock, Total",21.39,21.39,21.39,21.39,21.39
Retained Earnings (Accumulated Deficit),515.91,482.45,429.37,385.59,338.44
Unrealized Gain (Loss),2.33,2.33,2.33,2.33,2.33
Total Equity,539.63,506.18,453.09,409.31,362.17
Total Liabilities & Shareholders' Equity,894.50,865.07,806.93,754.86,679.83
Total Common Shares Outstanding,26.74,26.74,26.74,26.74,26.74
"Tangible Book Value per Share, Common Eq",18.77,17.21,15.16,13.33,11.39
