,30-Jun-21,31-Dec-20,30-Jun-20
Cash & Equivalents,190.38,175.12,157.94
Cash and Short Term Investments,190.38,175.12,157.94
"Accounts Receivable - Trade, Net",142.91,186.13,119.53
"Total Receivables, Net",189.40,234.16,172.05
Total Inventory,144.93,127.91,131.78
Prepaid Expenses,34.01,32.35,26.35
Total Current Assets,558.71,569.54,488.11
"Property/Plant/Equipment, Total - Gross",709.42,697.78,694.39
"Accumulated Depreciation, Total",(437.57),(418.03),(403.24)
"Property/Plant/Equipment, Total - Net",271.85,279.75,291.15
"Goodwill, Net",37.04,36.28,45.21
"Intangibles, Net",1.40,1.47,0.75
Long Term Investments,2.33,1.75,2.16
"Other Long Term Assets, Total",5.81,5.70,3.79
Total Assets,877.14,894.50,831.17
Accounts Payable,96.49,116.59,67.14
Accrued Expenses,43.22,42.52,46.91
Notes Payable/Short Term Debt,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,65.43,75.37,72.46
"Other Current liabilities, Total",17.91,25.03,21.33
Total Current Liabilities,223.06,259.52,207.84
Long Term Debt,23.68,31.99,68.40
Capital Lease Obligations,7.94,7.16,9.41
Total Long Term Debt,31.62,39.15,77.81
Total Debt,97.05,114.52,150.27
Deferred Income Tax,10.12,9.17,5.98
Minority Interest,1.63,1.51,1.37
"Other Liabilities, Total",45.33,45.52,41.63
Total Liabilities,311.76,354.86,334.63
"Common Stock, Total",21.39,21.39,21.39
Retained Earnings (Accumulated Deficit),541.66,515.91,472.81
Unrealized Gain (Loss),2.33,2.33,2.33
Total Equity,565.39,539.63,496.54
Total Liabilities & Shareholders' Equity,877.14,894.50,831.17
Total Common Shares Outstanding,26.74,26.74,26.74
"Tangible Book Value per Share, Common Eq",19.71,18.77,16.85
