,30-Jun-21,31-Dec-20,30-Jun-20
Net Income/Starting Line,38.15,86.14,20.22
Depreciation/Depletion,20.90,40.95,20.74
Non-Cash Items,(6.10),27.35,15.76
Changes in Working Capital,3.77,7.68,11.91
Cash from Operating Activities,56.71,162.13,68.63
Capital Expenditures,(13.16),(33.08),(17.42)
"Other Investing Cash Flow Items, Total",(0.09),(0.89),0.31
Cash from Investing Activities,(13.25),(33.97),(17.11)
Total Cash Dividends Paid,(12.03),(5.46),(5.21)
"Issuance (Retirement) of Debt, Net",(16.24),(24.48),11.08
Cash from Financing Activities,(28.27),(29.94),5.87
Foreign Exchange Effects,0.01,(27.74),(4.20)
Net Change in Cash,15.20,70.49,53.20
