NAME,AGE,POSITION,APPOINTED
Andre Coutier,72,President Of The Supervisory Board,2017
Mathieu Coutier,45,President Of The Executive Board,2017
Nicolas Job,66,Vice-President Of The Supervisory Board,2016
Jean-Louis Thomasset,56,Vice-President Of The Executive Board - Financial VP,--
Benoit Cedric Coutier,42,Member Of The Executive Board - Legal VP,2020
Nicolas Coutier,40,Member Of The Executive Board - Business Development VP,2020
Frederic Marier,57,Member Of The Executive Board - Manufacturing Performance VP,2017
Christophe Besse,42,Member Of The Supervisory Board - Employees Representative,2017
Christophe Coutier,43,Member Of The Supervisory Board - Representative Of Coutier Developpement,2017
Emilie Coutier,38,Member Of The Supervisory Board,2016
Genevieve Coutier,72,Member Of The Supervisory Board,2017
Anne Vignat Ducret,57,Member Of The Supervisory Board,2020
