,31-Mar-21,30-Sep-20
Cash,"1,095.00","1,148.00"
Cash & Equivalents,155.00,805.00
Cash and Short Term Investments,"1,250.00","1,953.00"
"Accounts Receivable - Trade, Net","5,014.00","3,309.00"
"Total Receivables, Net","5,901.00","3,991.00"
Total Inventory,"2,962.00","1,737.00"
Prepaid Expenses,350.00,142.00
"Other Current Assets, Total",704.00,411.00
Total Current Assets,"11,167.00","8,234.00"
"Property/Plant/Equipment, Total - Gross","5,267.00","2,731.00"
"Accumulated Depreciation, Total","(2,717.00)","(1,411.00)"
"Property/Plant/Equipment, Total - Net","2,550.00","1,330.00"
"Goodwill, Net","9,200.00","1,507.00"
"Intangibles, Net","2,800.00",439.00
Long Term Investments,"1,543.00",753.00
Note Receivable - Long Term,270.00,52.00
"Other Long Term Assets, Total","1,036.00",629.00
Total Assets,"28,566.00","12,944.00"
Accounts Payable,"3,615.00","1,849.00"
Accrued Expenses,"1,039.00",577.00
Notes Payable/Short Term Debt,0.00,0.00
Current Port. of LT Debt/Capital Leases,687.00,495.00
"Other Current liabilities, Total","9,488.00","4,486.00"
Total Current Liabilities,"14,829.00","7,407.00"
Long Term Debt,"1,651.00",751.00
Capital Lease Obligations,590.00,458.00
Total Long Term Debt,"2,241.00","1,209.00"
Total Debt,"2,928.00","1,704.00"
Deferred Income Tax,108.00,24.00
Minority Interest,78.00,60.00
"Other Liabilities, Total","2,271.00",963.00
Total Liabilities,"19,527.00","9,663.00"
"Common Stock, Total","2,598.00","1,588.00"
Additional Paid-In Capital,"5,315.00",981.00
Retained Earnings (Accumulated Deficit),"1,908.00","1,755.00"
"Other Equity, Total",(782.00),"(1,043.00)"
Total Equity,"9,039.00","3,281.00"
Total Liabilities & Shareholders' Equity,"28,566.00","12,944.00"
Total Common Shares Outstanding,371.20,244.67
"Tangible Book Value per Share, Common Eq",(7.98),5.46
