,31-Mar-21,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17
Net Income/Starting Line,259.00,474.00,693.00,374.00,303.00
Depreciation/Depletion,391.00,293.00,195.00,171.00,157.00
Deferred Taxes,(70.00),61.00,10.00,(65.00),(24.00)
Non-Cash Items,(50.00),(25.00),(183.00),(142.00),(139.00)
Cash Taxes Paid,94.00,102.00,105.00,93.00,87.00
Changes in Working Capital,(990.00),(324.00),(293.00),80.00,109.00
Cash from Operating Activities,(460.00),479.00,422.00,418.00,406.00
Capital Expenditures,(265.00),(274.00),(275.00),(293.00),(220.00)
"Other Investing Cash Flow Items, Total","(1,678.00)",(94.00),"2,475.00",(60.00),(127.00)
Cash from Investing Activities,"(1,943.00)",(368.00),"2,200.00",(353.00),(347.00)
Financing Cash Flow Items,(61.00),(5.00),3.00,0.00,(10.00)
Total Cash Dividends Paid,0.00,"(1,240.00)",(84.00),(60.00),(11.00)
"Issuance (Retirement) of Stock, Net","1,967.00",60.00,19.00,47.00,12.00
"Issuance (Retirement) of Debt, Net",(449.00),(172.00),(396.00),(292.00),(465.00)
Cash from Financing Activities,"1,457.00","(1,357.00)",(458.00),(305.00),(474.00)
Foreign Exchange Effects,21.00,(11.00),37.00,(92.00),17.00
Net Change in Cash,(925.00),"(1,257.00)","2,201.00",(332.00),(398.00)
