,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Net Income/Starting Line,(0.00),(2.48),(1.36),0.61,(0.92)
Depreciation/Depletion,0.00,1.71,1.33,--,--
Non-Cash Items,0.00,(0.03),0.00,(0.93),0.59
Changes in Working Capital,0.00,(0.01),0.59,0.02,0.04
Cash from Operating Activities,(0.00),(0.82),0.55,(0.30),(0.30)
Capital Expenditures,0.00,0.00,(0.00),--,--
"Other Investing Cash Flow Items, Total",0.00,(2.37),(2.21),(9.89),(5.30)
Cash from Investing Activities,0.00,(2.37),(2.21),(9.89),(5.30)
Total Cash Dividends Paid,(0.00),(0.40),(0.62),(1.53),(1.53)
"Issuance (Retirement) of Stock, Net",0.00,3.48,3.25,--,--
"Issuance (Retirement) of Debt, Net",0.00,0.00,0.00,2.74,--
Cash from Financing Activities,(0.00),3.08,2.63,1.21,(1.53)
Foreign Exchange Effects,0.00,0.00,--,--,--
Net Change in Cash,(0.00),(0.10),0.97,(8.98),(7.13)
