,30-Jun-21,30-Jun-20,30-Jun-19,30-Jun-18,30-Jun-17
Cash,30.56,36.54,19.58,16.11,28.46
Cash & Equivalents,0.11,0.12,0.07,13.33,13.17
Cash and Short Term Investments,30.68,36.66,19.65,29.44,41.63
"Accounts Receivable - Trade, Net",10.59,8.19,12.82,12.69,16.07
"Total Receivables, Net",16.70,13.50,17.95,20.52,23.53
Total Inventory,44.52,41.53,45.56,40.12,45.30
Prepaid Expenses,2.36,1.37,1.30,1.31,1.21
"Other Current Assets, Total",0.18,0.00,--,--,--
Total Current Assets,94.43,93.06,84.46,91.38,111.67
"Property/Plant/Equipment, Total - Gross",102.21,99.98,93.99,97.38,78.49
"Accumulated Depreciation, Total",(60.01),(54.28),(44.40),(47.90),(39.36)
"Property/Plant/Equipment, Total - Net",42.21,45.70,49.59,49.49,39.13
"Goodwill, Net",95.67,95.82,95.97,96.11,92.93
"Intangibles, Net",29.24,32.19,39.26,40.41,16.48
Long Term Investments,0.57,0.70,0.71,0.69,0.66
"Other Long Term Assets, Total",6.96,7.73,9.95,10.12,10.09
Total Assets,269.07,275.21,279.92,288.21,270.96
Accounts Payable,11.99,11.07,12.35,15.19,16.18
Accrued Expenses,8.68,10.19,9.35,9.78,6.29
Notes Payable/Short Term Debt,0.46,0.01,0.07,0.05,0.02
Current Port. of LT Debt/Capital Leases,8.55,18.36,6.12,4.61,2.60
"Other Current liabilities, Total",8.70,6.60,6.39,6.43,9.71
Total Current Liabilities,38.38,46.23,34.29,36.06,34.79
Long Term Debt,126.81,109.29,101.44,102.95,105.45
Capital Lease Obligations,10.93,14.15,13.39,12.41,11.55
Total Long Term Debt,137.74,123.44,114.82,115.35,116.99
Total Debt,146.76,141.81,121.01,120.01,119.61
Deferred Income Tax,2.08,1.53,1.36,1.04,0.82
Minority Interest,(2.05),(1.60),(1.37),(0.91),(0.42)
"Other Liabilities, Total",34.00,33.10,43.96,41.07,15.22
Total Liabilities,210.15,202.69,193.06,192.61,167.41
"Common Stock, Total",0.48,0.48,0.48,0.47,0.47
Additional Paid-In Capital,146.68,146.68,146.68,146.69,146.69
Retained Earnings (Accumulated Deficit),(88.76),(74.25),(60.22),(51.50),(43.44)
"Other Equity, Total",0.53,(0.39),(0.08),(0.06),(0.16)
Total Equity,58.92,72.52,86.86,95.59,103.56
Total Liabilities & Shareholders' Equity,269.07,275.21,279.92,288.21,270.96
Total Common Shares Outstanding,47.80,47.80,47.80,47.80,46.93
"Tangible Book Value per Share, Common Eq",(1.38),(1.16),(1.01),(0.86),(0.12)
