,30-Jun-21,31-Dec-20,30-Jun-20
Cash,30.56,36.47,36.54
Cash & Equivalents,0.11,0.10,0.12
Cash and Short Term Investments,30.68,36.57,36.66
"Accounts Receivable - Trade, Net",10.59,10.74,8.19
"Total Receivables, Net",16.70,17.05,13.50
Total Inventory,44.52,45.15,41.53
Prepaid Expenses,2.36,1.52,1.37
"Other Current Assets, Total",0.18,--,--
Total Current Assets,94.43,100.29,93.06
"Property/Plant/Equipment, Total - Gross",102.21,103.24,99.98
"Accumulated Depreciation, Total",(60.01),(59.21),(54.28)
"Property/Plant/Equipment, Total - Net",42.21,44.03,45.70
"Goodwill, Net",95.67,95.74,95.82
"Intangibles, Net",29.24,30.42,32.19
Long Term Investments,0.57,0.73,0.70
"Other Long Term Assets, Total",6.96,8.16,7.73
Total Assets,269.07,279.37,275.21
Accounts Payable,11.99,13.30,11.07
Accrued Expenses,8.68,7.57,10.19
Notes Payable/Short Term Debt,0.46,1.36,0.01
Current Port. of LT Debt/Capital Leases,8.55,8.09,18.36
"Other Current liabilities, Total",8.70,7.44,6.60
Total Current Liabilities,38.38,37.76,46.23
Long Term Debt,126.81,128.67,109.29
Capital Lease Obligations,10.93,12.97,14.15
Total Long Term Debt,137.74,141.64,123.44
Total Debt,146.76,151.09,141.81
Deferred Income Tax,2.08,1.68,1.53
Minority Interest,(2.05),(1.68),(1.60)
"Other Liabilities, Total",34.00,32.15,33.10
Total Liabilities,210.15,211.54,202.69
"Common Stock, Total",0.48,0.48,0.48
Additional Paid-In Capital,146.68,146.68,146.68
Retained Earnings (Accumulated Deficit),(88.76),(79.73),(74.25)
"Other Equity, Total",0.53,0.41,(0.39)
Total Equity,58.92,67.83,72.52
Total Liabilities & Shareholders' Equity,269.07,279.37,275.21
Total Common Shares Outstanding,47.80,47.80,47.80
"Tangible Book Value per Share, Common Eq",(1.38),(1.22),(1.16)
