,30-Jun-21,31-Dec-20,30-Jun-20
Net Income/Starting Line,(14.67),(5.16),(14.64)
Depreciation/Depletion,18.54,8.85,15.42
Non-Cash Items,2.39,0.13,5.62
Changes in Working Capital,(3.92),(4.79),5.99
Cash from Operating Activities,2.34,(0.97),12.38
Capital Expenditures,(9.45),(4.33),(9.75)
"Other Investing Cash Flow Items, Total",0.28,(0.02),0.17
Cash from Investing Activities,(9.16),(4.35),(9.58)
Financing Cash Flow Items,(2.66),(2.62),0.13
"Issuance (Retirement) of Stock, Net",0.01,0.01,0.17
"Issuance (Retirement) of Debt, Net",3.38,7.79,14.45
Cash from Financing Activities,0.74,5.18,14.76
Foreign Exchange Effects,0.09,(0.01),(0.49)
Net Change in Cash,(5.99),(0.15),17.07
