,30-Jun-21,31-Dec-20,30-Jun-20
Revenue,49.59,45.91,38.45
Total Revenue,49.59,45.91,38.45
"Cost of Revenue, Total",27.59,21.90,22.29
Gross Profit,22.00,24.01,16.16
"Selling/General/Admin. Expenses, Total",15.14,13.70,13.04
Depreciation/Amortization,8.19,7.70,10.07
"Interest Exp.(Inc.),Net-Operating, Total",(0.51),--,--
Unusual Expense (Income),0.37,0.09,0.48
"Other Operating Expenses, Total",2.30,1.37,3.75
Total Operating Expense,53.08,44.75,49.64
Operating Income,(3.49),1.16,(11.18)
"Interest Inc.(Exp.),Net-Non-Op., Total",(4.68),(5.17),(3.40)
"Other, Net",0.43,(1.05),(2.25)
Net Income Before Taxes,(7.74),(5.07),(16.83)
Provision for Income Taxes,1.76,0.10,2.93
Net Income After Taxes,(9.51),(5.16),(19.77)
Minority Interest,0.39,0.18,0.27
Net Income Before Extra. Items,(9.12),(4.98),(19.50)
Net Income,(9.12),(4.98),(19.50)
Total Adjustments to Net Income,0.00,(0.00),(0.00)
Income Available to Com Excl ExtraOrd,(9.12),(4.98),(19.50)
Income Available to Com Incl ExtraOrd,(9.12),(4.98),(19.50)
Diluted Net Income,(9.12),(4.98),(19.50)
Diluted Weighted Average Shares,47.81,47.81,47.81
Diluted EPS Excluding ExtraOrd Items,(0.19),(0.10),(0.41)
Diluted Normalized EPS,(0.21),(0.10),(0.40)
DPS - Common Stock Primary Issue,0.00,0.00,--
