NAME,AGE,POSITION,APPOINTED
Stefano Drago,--,Chairman Of The Board,2020
Olivier Jallabert,--,"Chief Executive Officer, Executive Director",2020
Muriel Benedetto Marmilloud,--,Chief Operating Officer,--
Philippe Garcia,--,"Vice President - Finance, Member Of The Management Board",--
Bruno Jugnet,--,"Vice President Of Marketing, Member Of The Management Board",--
Jean-Christophe Vial,--,"Vice President - International, Member Of The Management Board",--
Laurent Geais,--,"Vice President - Research & Development, Member Of The Management Board",--
Mireille Lemery,--,"Member Of The Management Board, Director Of US Regulatory Affairs",--
Daniel Caille,53,Director,--
Vincent Colomb,--,Director - Representing APAX Partners Midmarket,--
Bertrand Pivin,55,Director,--
