,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,5.44,2.52,7.92,9.16,4.09
Depreciation/Depletion,3.83,7.14,4.85,1.41,0.87
Deferred Taxes,2.98,1.41,4.41,4.81,3.38
Non-Cash Items,1.08,0.36,(0.44),0.66,0.39
Cash Taxes Paid,1.25,(3.46),5.61,4.37,1.04
Cash Interest Paid,0.38,0.47,0.22,0.22,0.36
Changes in Working Capital,8.82,(3.66),(18.13),3.78,1.63
Cash from Operating Activities,22.15,7.77,(1.39),19.81,10.36
Capital Expenditures,(0.91),(2.10),(3.62),(0.63),(0.89)
"Other Investing Cash Flow Items, Total",0.42,(0.01),(4.16),(1.78),(0.01)
Cash from Investing Activities,(0.50),(2.10),(7.78),(2.40),(0.90)
Financing Cash Flow Items,(0.38),(0.43),(0.22),(0.22),(0.36)
Total Cash Dividends Paid,0.00,(3.23),(3.51),(2.64),(2.42)
"Issuance (Retirement) of Stock, Net",(0.01),(0.00),0.34,(0.32),(0.02)
"Issuance (Retirement) of Debt, Net",1.04,(1.28),8.95,4.20,(0.31)
Cash from Financing Activities,0.66,(4.94),5.57,1.02,(3.11)
Net Change in Cash,22.31,0.73,(3.61),18.43,6.35
