,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,175.83,201.38,225.35,174.02,125.55
Total Revenue,175.83,201.38,225.35,174.02,125.55
"Cost of Revenue, Total",130.13,151.57,167.75,125.72,93.86
Gross Profit,45.70,49.81,57.60,48.30,31.69
"Selling/General/Admin. Expenses, Total",32.50,38.65,40.86,32.68,23.16
Depreciation/Amortization,4.12,3.84,1.52,1.16,1.16
Unusual Expense (Income),(0.28),0.00,0.00,0.00,0.07
"Other Operating Expenses, Total",0.84,3.33,2.97,0.38,(0.49)
Total Operating Expense,167.30,197.39,213.10,159.94,117.76
Operating Income,8.53,3.99,12.25,14.08,7.79
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.38),(0.47),(0.22),(0.22),(0.36)
"Other, Net",0.31,0.31,0.31,0.07,(0.03)
Net Income Before Taxes,8.46,3.83,12.35,13.93,7.40
Provision for Income Taxes,2.98,1.41,4.41,4.81,3.38
Net Income After Taxes,5.48,2.42,7.94,9.13,4.01
Minority Interest,0.00,0.11,0.10,(0.30),(0.20)
Equity In Affiliates,(0.04),0.10,(0.02),0.03,0.08
Net Income Before Extra. Items,5.44,2.63,8.02,8.86,3.89
Net Income,5.44,2.63,8.02,8.86,3.89
Total Adjustments to Net Income,(0.00),(0.00),0.00,0.00,(0.00)
Income Available to Com Excl ExtraOrd,5.44,2.63,8.02,8.86,3.89
Income Available to Com Incl ExtraOrd,5.44,2.63,8.02,8.86,3.89
Diluted Net Income,5.44,2.63,8.02,8.86,3.89
Diluted Weighted Average Shares,12.96,13.14,12.94,12.76,12.75
Diluted EPS Excluding ExtraOrd Items,0.42,0.20,0.62,0.69,0.31
DPS - Common Stock Primary Issue,0.25,0.00,0.25,0.25,0.19
Diluted Normalized EPS,0.41,0.20,0.62,0.69,0.31
