,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Cash & Equivalents,30.68,8.77,12.98,7.79,19.86
Short Term Investments,118.82,150.32,145.46,127.36,131.17
Cash and Short Term Investments,149.50,159.09,158.44,135.15,151.03
"Accounts Receivable - Trade, Net",30.42,9.88,11.24,6.32,5.88
"Total Receivables, Net",31.08,10.78,12.09,7.37,7.00
Total Current Assets,180.58,169.87,170.53,142.52,158.03
"Property/Plant/Equipment, Total - Gross",7.43,8.38,9.87,9.40,9.27
"Accumulated Depreciation, Total",(5.88),(6.06),(7.21),(6.53),(5.87)
"Property/Plant/Equipment, Total - Net",1.69,2.32,2.67,2.87,3.41
"Intangibles, Net",0.08,0.13,0.14,0.17,0.13
Long Term Investments,0.62,0.63,0.63,0.62,0.62
"Other Long Term Assets, Total",0.09,0.11,0.06,0.17,0.14
Total Assets,183.07,173.06,174.03,146.35,162.33
Accounts Payable,0.45,0.58,0.99,0.38,0.42
Accrued Expenses,23.58,17.29,14.31,3.72,18.17
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.88,0.00,0.43,0.07,0.19
Total Current Liabilities,26.92,17.88,15.72,4.16,18.79
Capital Lease Obligations,0.59,1.15,1.72,2.24,2.27
Total Long Term Debt,0.59,1.15,1.72,2.24,2.27
Total Debt,0.59,1.15,1.72,2.24,2.27
"Other Liabilities, Total",0.00,(0.00),0.05,0.05,0.05
Total Liabilities,27.51,19.03,17.49,6.45,21.11
"Common Stock, Total",0.94,0.94,0.94,0.94,0.94
Additional Paid-In Capital,46.85,47.52,47.52,47.52,59.12
Retained Earnings (Accumulated Deficit),107.77,105.58,108.08,91.45,81.16
"Other Equity, Total",(0.00),0.00,0.00,--,--
Total Equity,155.56,154.03,156.54,139.90,141.22
Total Liabilities & Shareholders' Equity,183.07,173.06,174.03,146.35,162.33
Total Common Shares Outstanding,58.40,58.14,58.20,58.31,58.26
"Tangible Book Value per Share, Common Eq",2.66,2.65,2.69,2.40,2.42
Long Term Debt,0.00,0.00,0.00,--,--
Deferred Income Tax,0.00,0.00,0.00,--,--
Minority Interest,0.00,0.00,(0.00),(0.00),--
"Other Current Assets, Total",0.00,0.00,--,--,--
