,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,35.09,18.34,19.68,18.31,30.54
Depreciation/Depletion,1.65,1.48,0.91,0.86,0.78
Deferred Taxes,0.05,0.22,0.28,0.10,(0.38)
Non-Cash Items,0.19,0.16,0.41,0.89,1.70
Cash Interest Paid,0.03,--,--,--,--
Changes in Working Capital,(12.65),6.69,1.24,6.98,(20.14)
Cash from Operating Activities,24.33,26.89,22.53,27.14,12.50
"Other Investing Cash Flow Items, Total",(1.03),(3.38),(0.69),(0.63),(0.78)
Cash from Investing Activities,(1.03),(3.38),(0.69),(0.63),(0.78)
Financing Cash Flow Items,(2.03),0.14,0.49,(2.95),(0.29)
Total Cash Dividends Paid,(19.20),(25.06),(23.28),(25.81),(15.15)
"Issuance (Retirement) of Stock, Net",0.00,0.00,(0.04),0.00,--
"Issuance (Retirement) of Debt, Net",(1.09),2.24,--,--,--
Cash from Financing Activities,(22.33),(22.68),(22.82),(28.76),(15.44)
Net Change in Cash,0.98,0.83,(0.98),(2.25),(3.71)
