,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Net Income/Starting Line,16.84,35.09,25.68,18.34,8.47
Depreciation/Depletion,0.87,1.65,0.41,1.48,0.75
Deferred Taxes,0.03,0.05,0.47,0.22,0.25
Non-Cash Items,0.26,0.19,0.05,0.16,0.07
Cash Interest Paid,0.01,0.03,--,--,--
Changes in Working Capital,20.25,(12.65),(11.26),6.69,17.88
Cash from Operating Activities,38.24,24.33,15.35,26.89,27.42
"Other Investing Cash Flow Items, Total",(0.19),(1.03),(0.53),(3.38),(3.14)
Cash from Investing Activities,(0.19),(1.03),(0.53),(3.38),(3.14)
Financing Cash Flow Items,0.79,(2.03),(1.51),0.14,(0.19)
Total Cash Dividends Paid,(15.70),(19.20),(7.58),(25.06),(13.46)
"Issuance (Retirement) of Stock, Net",(0.67),0.00,0.00,0.00,0.00
"Issuance (Retirement) of Debt, Net",(0.56),(1.09),(0.53),2.24,2.27
Cash from Financing Activities,(16.13),(22.33),(9.62),(22.68),(11.37)
Net Change in Cash,21.91,0.98,5.20,0.83,12.90
