,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,69.11,37.25,40.23,38.55,53.65
Total Revenue,69.11,37.25,40.23,38.55,53.65
"Cost of Revenue, Total",5.77,5.47,6.72,6.21,6.00
Gross Profit,63.34,31.78,33.51,32.33,47.65
"Selling/General/Admin. Expenses, Total",26.25,12.23,13.48,14.01,16.61
Depreciation/Amortization,1.62,1.48,0.91,0.85,0.78
"Interest Exp.(Inc.),Net-Operating, Total",0.03,0.03,--,--,--
"Other Operating Expenses, Total",0.00,(0.04),(0.20),(0.25),0.05
Total Operating Expense,33.67,19.17,20.91,20.83,23.45
Operating Income,35.44,18.07,19.32,17.71,30.20
"Other, Net",(0.00),0.00,0.00,0.00,--
Net Income Before Taxes,35.44,18.07,19.32,17.71,30.20
Provision for Income Taxes,0.35,(0.27),(0.36),(0.60),(0.34)
Net Income After Taxes,35.09,18.34,19.68,18.31,30.54
Minority Interest,0.00,0.00,0.00,0.00,0.00
Net Income Before Extra. Items,35.09,18.34,19.68,18.31,30.54
Net Income,35.09,18.34,19.68,18.31,30.54
Income Available to Com Excl ExtraOrd,35.09,18.34,19.68,18.31,30.54
Income Available to Com Incl ExtraOrd,35.09,18.34,19.68,18.31,30.54
Diluted Net Income,35.09,18.34,19.68,18.31,30.54
Diluted Weighted Average Shares,58.51,58.51,59.63,59.06,59.88
Diluted EPS Excluding ExtraOrd Items,0.60,0.31,0.33,0.31,0.51
DPS - Common Stock Primary Issue,0.48,0.13,0.23,0.45,0.40
Diluted Normalized EPS,0.60,0.31,0.33,0.31,0.51
Total Adjustments to Net Income,0.00,--,--,--,--
