,30-Sep-20,30-Sep-19,30-Sep-18,30-Sep-17,30-Sep-16
Cash,1.35,2.11,0.78,0.78,0.64
Cash & Equivalents,15.12,20.21,30.85,46.06,34.18
Short Term Investments,0.17,0.29,0.68,0.92,0.06
Cash and Short Term Investments,16.64,22.61,32.30,47.77,34.87
"Accounts Receivable - Trade, Net",17.02,20.39,26.35,17.78,15.07
"Total Receivables, Net",97.54,90.62,85.88,75.63,57.64
Total Inventory,23.17,24.30,22.81,22.22,21.75
Prepaid Expenses,3.06,1.86,4.95,3.70,3.38
Total Current Assets,140.41,139.39,145.94,149.32,117.64
"Property/Plant/Equipment, Total - Gross","2,769.38","2,677.39","2,444.43","2,312.03","2,189.66"
"Accumulated Depreciation, Total","(1,470.83)","(1,523.65)","(1,413.68)","(1,354.21)","(1,267.02)"
"Property/Plant/Equipment, Total - Net","1,298.55","1,153.75","1,030.74",957.82,922.64
"Goodwill, Net",271.57,333.13,295.89,284.73,284.90
"Intangibles, Net",76.94,67.13,64.93,68.26,73.02
Long Term Investments,86.34,103.53,86.33,88.34,82.55
Note Receivable - Long Term,35.68,36.65,29.91,21.22,15.93
"Other Long Term Assets, Total",80.27,9.80,7.61,10.07,9.10
Total Assets,"1,989.77","1,843.38","1,661.35","1,579.76","1,505.78"
Accounts Payable,85.92,77.59,93.65,76.82,66.53
Accrued Expenses,98.88,106.44,98.98,98.61,93.14
Notes Payable/Short Term Debt,22.53,48.68,101.33,213.31,52.28
Current Port. of LT Debt/Capital Leases,116.76,154.87,26.47,2.96,3.24
"Other Current liabilities, Total",77.04,79.85,80.20,79.69,72.53
Total Current Liabilities,401.13,467.42,400.64,471.39,287.72
Long Term Debt,528.96,351.15,299.20,194.23,332.57
Capital Lease Obligations,165.80,1.16,1.67,2.17,2.65
Total Long Term Debt,694.75,352.31,300.86,196.41,335.23
Total Debt,834.05,555.85,428.67,412.68,390.74
Deferred Income Tax,22.07,22.39,21.80,21.24,19.84
Minority Interest,49.48,60.53,55.91,54.92,50.44
"Other Liabilities, Total",81.89,73.28,58.90,58.35,57.29
Total Liabilities,"1,249.32",975.92,838.10,802.31,750.52
"Common Stock, Total",186.83,186.43,186.09,185.70,185.36
Additional Paid-In Capital,260.09,257.60,257.60,257.60,257.60
Retained Earnings (Accumulated Deficit),298.38,422.26,381.36,335.20,313.12
Unrealized Gain (Loss),(3.24),2.63,0.03,1.15,(0.09)
"Other Equity, Total",(1.60),(1.46),(1.83),(2.20),(0.73)
Total Equity,740.45,867.46,823.25,777.45,755.26
Total Liabilities & Shareholders' Equity,"1,989.77","1,843.38","1,661.35","1,579.76","1,505.78"
Total Common Shares Outstanding,34.51,34.45,34.40,34.33,34.25
"Tangible Book Value per Share, Common Eq",11.36,13.56,13.44,12.36,11.60
"Other Current Assets, Total",0.00,0.00,--,--,--
