,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,0.16,(0.63),(2.17),(0.36),(1.96)
Depreciation/Depletion,1.35,1.20,0.81,0.87,0.91
Non-Cash Items,0.03,0.09,0.35,0.39,0.07
Changes in Working Capital,(1.53),(1.52),2.84,(0.15),1.10
Cash from Operating Activities,0.01,(0.85),1.83,0.75,0.12
Capital Expenditures,(0.97),(1.89),(1.02),(0.98),(0.65)
"Other Investing Cash Flow Items, Total",(0.02),(0.01),0.01,0.00,(1.80)
Cash from Investing Activities,(0.99),(1.90),(1.00),(0.98),(2.45)
Financing Cash Flow Items,1.64,1.25,(0.15),(2.14),2.11
"Issuance (Retirement) of Stock, Net",0.00,0.55,(0.05),0.00,0.00
"Issuance (Retirement) of Debt, Net",3.18,(0.60),(0.60),1.44,0.79
Cash from Financing Activities,4.82,1.19,(0.80),(0.70),2.90
Net Change in Cash,3.84,(1.56),0.02,(0.93),0.57
