,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Revenue,7.01,8.91,7.07,7.83,6.37
Total Revenue,7.01,8.91,7.07,7.83,6.37
"Cost of Revenue, Total",4.03,5.18,4.46,4.55,3.29
Gross Profit,2.98,3.73,2.60,3.28,3.08
"Selling/General/Admin. Expenses, Total",2.66,2.47,2.36,2.68,2.91
Depreciation/Amortization,0.63,0.68,0.62,0.67,0.60
Unusual Expense (Income),(0.01),0.00,(0.01),0.00,0.00
"Other Operating Expenses, Total",0.00,0.00,0.00,0.00,0.00
Total Operating Expense,7.31,8.33,7.44,7.90,6.81
Operating Income,(0.30),0.58,(0.38),(0.07),(0.43)
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.06),(0.05),(0.03),(0.04),(0.04)
"Other, Net",0.11,0.01,(0.01),(0.04),0.01
Net Income Before Taxes,(0.25),0.54,(0.42),(0.14),(0.46)
Provision for Income Taxes,(0.01),(0.03),(0.01),0.04,(0.02)
Net Income After Taxes,(0.24),0.57,(0.41),(0.18),(0.45)
Minority Interest,(0.00),(0.00),(0.00),0.00,(0.00)
Net Income Before Extra. Items,(0.24),0.57,(0.41),(0.18),(0.45)
Net Income,(0.24),0.57,(0.41),(0.18),(0.45)
Income Available to Com Excl ExtraOrd,(0.24),0.57,(0.41),(0.18),(0.45)
Income Available to Com Incl ExtraOrd,(0.24),0.57,(0.41),(0.18),(0.45)
Diluted Net Income,(0.24),0.57,(0.41),(0.18),(0.45)
Diluted Weighted Average Shares,3.60,3.57,3.63,3.56,3.11
Diluted EPS Excluding ExtraOrd Items,(0.07),0.16,(0.11),(0.05),(0.14)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(0.07),0.16,(0.11),(0.05),(0.14)
Total Adjustments to Net Income,0.00,--,--,--,--
