,30-Jun-21,31-Dec-20
Cash & Equivalents,295.65,283.42
Cash and Short Term Investments,295.65,283.42
"Accounts Receivable - Trade, Net",632.39,586.62
"Total Receivables, Net",725.91,666.06
"Other Current Assets, Total",299.72,188.18
Total Current Assets,"1,321.27","1,137.67"
"Property/Plant/Equipment, Total - Gross",287.64,--
"Accumulated Depreciation, Total",(106.70),--
"Property/Plant/Equipment, Total - Net",212.62,192.41
"Goodwill, Net",796.56,701.57
"Intangibles, Net",7.40,7.94
Long Term Investments,34.92,76.79
"Other Long Term Assets, Total",38.16,36.24
Total Assets,"2,410.93","2,152.61"
Accounts Payable,123.61,99.10
Notes Payable/Short Term Debt,11.81,3.89
Current Port. of LT Debt/Capital Leases,164.38,118.79
"Other Current liabilities, Total",585.11,486.26
Total Current Liabilities,884.91,708.04
Long Term Debt,8.76,9.27
Capital Lease Obligations,138.24,126.10
Total Long Term Debt,147.01,135.38
Total Debt,323.20,258.06
Deferred Income Tax,1.82,0.99
Minority Interest,(0.38),(0.48)
"Other Liabilities, Total",98.68,95.08
Total Liabilities,"1,132.04",939.01
"Common Stock, Total",36.06,35.95
Additional Paid-In Capital,60.25,60.25
Retained Earnings (Accumulated Deficit),"1,198.94","1,141.96"
Treasury Stock - Common,(8.95),(9.07)
"Other Equity, Total",(7.40),(15.49)
Total Equity,"1,278.90","1,213.60"
Total Liabilities & Shareholders' Equity,"2,410.93","2,152.61"
Total Common Shares Outstanding,33.88,33.78
"Tangible Book Value per Share, Common Eq",14.02,14.92
