,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,97.79,163.57,160.61,148.32,112.75
Depreciation/Depletion,63.94,57.14,10.24,9.60,8.58
Amortization,3.28,3.20,3.86,3.41,2.89
Non-Cash Items,23.68,96.44,67.32,42.86,61.45
Cash Taxes Paid,50.13,77.13,60.51,52.33,52.31
Changes in Working Capital,118.76,(95.92),(142.73),(112.85),(73.26)
Cash from Operating Activities,307.44,224.43,99.30,91.34,112.41
Capital Expenditures,(12.30),(17.91),(16.93),(13.80),(14.27)
"Other Investing Cash Flow Items, Total",(114.80),(64.63),(61.74),(18.58),(71.84)
Cash from Investing Activities,(127.10),(82.54),(78.66),(32.38),(86.11)
Financing Cash Flow Items,(0.97),(3.38),(1.20),(0.32),(0.94)
Total Cash Dividends Paid,0.00,(33.45),(33.37),(33.23),(33.22)
"Issuance (Retirement) of Stock, Net",(0.36),1.05,(0.23),(0.39),0.70
"Issuance (Retirement) of Debt, Net",(91.97),(25.17),49.89,(33.18),11.03
Cash from Financing Activities,(93.30),(60.95),15.11,(67.13),(22.43)
Foreign Exchange Effects,(6.17),1.24,0.66,(2.85),(0.79)
Net Change in Cash,80.87,82.18,36.41,(11.02),3.07
