,30-Jun-21,31-Dec-20
Revenue,"1,395.23","1,091.55"
Total Revenue,"1,395.23","1,091.55"
"Cost of Revenue, Total",131.91,105.64
Gross Profit,"1,263.32",985.91
"Selling/General/Admin. Expenses, Total","1,094.68",887.83
Depreciation/Amortization,35.96,33.50
Unusual Expense (Income),5.11,11.04
"Other Operating Expenses, Total",3.36,2.97
Total Operating Expense,"1,271.01","1,040.97"
Operating Income,124.21,50.57
"Interest Inc.(Exp.),Net-Non-Op., Total",(6.54),0.08
"Other, Net",5.38,2.51
Net Income Before Taxes,123.05,53.16
Provision for Income Taxes,33.72,15.98
Net Income After Taxes,89.33,37.19
Minority Interest,(0.04),0.12
Equity In Affiliates,(0.01),0.05
Net Income Before Extra. Items,89.28,37.36
Net Income,89.28,37.36
Total Adjustments to Net Income,0.00,0.00
Income Available to Com Excl ExtraOrd,89.28,37.37
Income Available to Com Incl ExtraOrd,89.28,37.37
Diluted Net Income,89.28,37.37
Diluted Weighted Average Shares,34.51,34.41
Diluted EPS Excluding ExtraOrd Items,2.59,1.09
DPS - Common Stock Primary Issue,0.00,1.00
Diluted Normalized EPS,2.69,1.31
