,30-Jun-21,31-Dec-20,30-Jun-20
Cash,49.38,53.34,41.40
Short Term Investments,0.08,0.08,1.17
Cash and Short Term Investments,49.46,53.41,42.57
"Accounts Receivable - Trade, Net",139.88,141.36,116.23
"Total Receivables, Net",165.48,163.44,139.14
Total Inventory,158.98,149.56,164.80
Total Current Assets,373.92,366.42,346.51
"Property/Plant/Equipment, Total - Net",74.59,77.43,82.61
"Goodwill, Net",24.15,24.15,24.15
"Intangibles, Net",59.43,61.10,61.92
Long Term Investments,2.73,2.53,1.91
"Other Long Term Assets, Total",26.27,25.07,22.36
Total Assets,561.08,556.70,539.46
Accounts Payable,73.84,69.89,63.62
Accrued Expenses,31.88,29.14,31.26
Notes Payable/Short Term Debt,49.31,45.51,41.56
Current Port. of LT Debt/Capital Leases,53.75,52.41,70.71
"Other Current liabilities, Total",69.99,69.67,57.35
Total Current Liabilities,278.76,266.62,264.50
Long Term Debt,139.43,145.03,124.78
Capital Lease Obligations,11.23,13.27,15.25
Total Long Term Debt,150.66,158.30,140.03
Total Debt,253.72,256.22,252.30
Deferred Income Tax,5.03,4.19,3.86
Minority Interest,0.37,0.31,0.15
"Other Liabilities, Total",11.45,11.51,11.31
Total Liabilities,446.27,440.93,419.84
"Common Stock, Total",15.08,15.08,15.08
Additional Paid-In Capital,17.56,17.56,17.56
Retained Earnings (Accumulated Deficit),86.33,87.66,91.01
Treasury Stock - Common,(0.16),(0.16),(0.16)
Unrealized Gain (Loss),(3.98),(4.36),(3.87)
"Other Equity, Total",(0.00),0.00,(0.00)
Total Equity,114.82,115.77,119.61
Total Liabilities & Shareholders' Equity,561.08,556.70,539.46
Total Common Shares Outstanding,20.10,20.10,20.10
"Tangible Book Value per Share, Common Eq",1.55,1.52,1.67
"Other Current Assets, Total",(0.00),--,--
