,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(19.44),8.72,9.19,8.51,21.29
Depreciation/Depletion,42.71,30.19,16.99,28.26,17.15
Deferred Taxes,(1.24),0.07,(0.23),(0.42),(1.20)
Non-Cash Items,(0.07),(0.14),2.27,1.55,(1.54)
Cash Taxes Paid,0.89,4.34,3.15,1.65,3.57
Cash Interest Paid,3.71,3.94,3.26,2.63,2.19
Changes in Working Capital,2.60,5.16,(25.71),(16.74),(4.03)
Cash from Operating Activities,24.56,44.01,2.52,21.16,31.67
Capital Expenditures,(22.45),(43.50),(48.77),(28.45),(19.44)
"Other Investing Cash Flow Items, Total",(0.33),(0.03),(1.16),(2.64),(2.41)
Cash from Investing Activities,(22.78),(43.53),(49.93),(31.09),(21.85)
Financing Cash Flow Items,(3.78),(4.13),(3.49),(2.89),(2.44)
Total Cash Dividends Paid,(3.01),(2.01),(2.41),(3.01),(2.01)
"Issuance (Retirement) of Debt, Net",31.16,1.28,27.32,42.17,17.56
Cash from Financing Activities,24.37,(4.86),21.42,36.27,13.11
Foreign Exchange Effects,0.13,0.57,(0.61),(1.07),(0.14)
Net Change in Cash,26.29,(3.81),(26.60),25.26,22.79
