,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,438.59,520.41,476.52,433.32,431.65
Total Revenue,438.59,520.41,476.52,433.32,431.65
"Cost of Revenue, Total",294.78,353.71,334.71,292.57,284.88
Gross Profit,143.82,166.70,141.81,140.75,146.77
"Selling/General/Admin. Expenses, Total",125.98,129.78,115.98,108.35,110.90
Depreciation/Amortization,30.93,29.38,20.69,18.65,16.21
"Interest Exp.(Inc.),Net-Operating, Total",(0.29),(3.13),0.38,(1.92),(2.72)
Unusual Expense (Income),0.03,0.02,0.09,0.05,(0.02)
"Other Operating Expenses, Total",(5.97),(5.62),(4.90),(4.17),(3.97)
Total Operating Expense,445.45,504.14,466.95,413.52,405.29
Operating Income,(6.86),16.28,9.57,19.80,26.36
"Interest Inc.(Exp.),Net-Non-Op., Total",(1.01),(3.61),2.50,(2.82),(1.90)
"Other, Net",(11.27),(0.22),(0.02),(6.62),(0.59)
Net Income Before Taxes,(19.13),12.45,12.06,10.37,23.88
Provision for Income Taxes,0.31,3.72,2.87,1.86,2.59
Net Income After Taxes,(19.44),8.72,9.19,8.51,21.29
Minority Interest,0.40,(0.12),(0.17),(0.25),(0.37)
Net Income Before Extra. Items,(19.04),8.60,9.03,8.26,20.91
Net Income,(19.04),8.60,9.03,8.26,20.91
Income Available to Com Excl ExtraOrd,(19.04),8.60,9.03,8.26,20.91
Income Available to Com Incl ExtraOrd,(19.04),8.60,9.03,8.26,20.91
Diluted Net Income,(19.04),8.60,9.03,8.26,20.91
Diluted Weighted Average Shares,20.10,20.10,20.10,20.10,20.11
Diluted EPS Excluding ExtraOrd Items,(0.95),0.43,0.45,0.41,1.04
DPS - Common Stock Primary Issue,0.00,0.15,0.10,0.12,0.15
Diluted Normalized EPS,(0.95),0.43,0.45,0.41,1.04
Total Adjustments to Net Income,0.00,--,--,--,--
