NAME,AGE,POSITION,APPOINTED
Louis Pech,84,Chairman Of The Supervisory Board,2002
Jean-Louis Pech,--,Chairman Of The Management Board,2002
Pierre Calmels,81,Vice Chairman Of The Supervisory Board,2003
Catherine Mallet,49,Member Of The Management Board,2002
Marine Candelon-Bonnemaison,56,Member Of The Management Board,2002
Catherine Casamatta,--,Independent Member Of The Supervisory Board,2017
Henri-Paul Brochet,76,Independent Member Of The Supervisory Board,2008
Alain Costes,79,Independent Member Of The Supervisory Board,2003
Carole Garcia,--,Independent Member Of The Supervisory Board,2014
Laura Pech,--,Member Of The Supervisory Board,2017
Gunther Thrum,80,Member Of The Supervisory Board,2002
Veronique Vedrine,59,Independent Member Of The Supervisory Board,2004
