,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17
Cash,"1,143.00",227.00,268.00,189.00
Cash & Equivalents,"1,331.00","2,052.00",834.00,219.00
Short Term Investments,38.00,61.00,"1,773.00",708.00
Cash and Short Term Investments,"2,512.00","2,340.00","2,875.00","1,116.00"
"Accounts Receivable - Trade, Net",534.00,649.00,617.00,403.00
"Total Receivables, Net",695.00,885.00,834.00,631.00
Total Inventory,21.00,20.00,15.00,8.00
Prepaid Expenses,61.00,28.00,41.00,27.00
Total Current Assets,"3,289.00","3,274.00","3,764.00","1,782.00"
"Property/Plant/Equipment, Total - Gross",991.00,"1,544.00","2,100.00",297.00
"Accumulated Depreciation, Total",(372.00),(381.00),(917.00),(606.00)
"Property/Plant/Equipment, Total - Net",619.00,"1,163.00","1,183.00",662.00
"Goodwill, Net","1,879.00","1,947.00","2,068.00","1,500.00"
"Intangibles, Net","2,668.00","3,130.00","3,053.00","2,156.00"
Long Term Investments,"1,214.00","1,907.00","2,252.00",740.00
Note Receivable - Long Term,234.00,456.00,393.00,219.00
"Other Long Term Assets, Total",643.00,"2,060.00",262.00,"5,021.00"
Total Assets,"10,546.00","13,937.00","12,975.00","12,080.00"
Accounts Payable,327.00,441.00,426.00,398.00
Accrued Expenses,271.00,443.00,373.00,286.00
Notes Payable/Short Term Debt,325.00,203.00,896.00,0.00
Current Port. of LT Debt/Capital Leases,710.00,142.00,363.00,237.00
"Other Current liabilities, Total",973.00,851.00,984.00,535.00
Total Current Liabilities,"2,606.00","2,080.00","3,042.00","1,456.00"
Long Term Debt,"2,473.00","2,840.00","2,760.00","2,768.00"
Capital Lease Obligations,314.00,461.00,0.00,1.00
Total Long Term Debt,"2,787.00","3,301.00","2,760.00","2,768.00"
Total Debt,"3,822.00","3,646.00","4,019.00","3,005.00"
Deferred Income Tax,513.00,621.00,573.00,416.00
Minority Interest,66.00,153.00,115.00,341.00
"Other Liabilities, Total",482.00,960.00,157.00,"1,657.00"
Total Liabilities,"6,454.00","7,115.00","6,647.00","6,638.00"
"Common Stock, Total",784.00,813.00,848.00,870.00
Additional Paid-In Capital,"4,296.00","4,419.00","2,361.00","3,244.00"
Retained Earnings (Accumulated Deficit),"(1,988.00)",464.00,"2,233.00",441.00
"Other Equity, Total","1,000.00","1,126.00",886.00,887.00
Total Equity,"4,092.00","6,822.00","6,328.00","5,442.00"
Total Liabilities & Shareholders' Equity,"10,546.00","13,937.00","12,975.00","12,080.00"
Total Common Shares Outstanding,261.38,270.93,281.75,290.12
"Tangible Book Value per Share, Common Eq",(1.74),6.44,4.28,6.16
"Other Current Assets, Total",1.00,(1.00),--,--
