TITLE,SUMMARY,DATE
"Air France-KLM, Total, ADP And Airbus Team Up To Decarbonize Air Transportation","May 18 (Reuters) - AEROPORTS DE PARIS SA <ADP.PA>::AIR FRANCE-KLM, TOTAL, GROUPE ADP AND AIRBUS JOIN FORCES TO DECARBONIZE AIR TRANSPORTATION.AIR FRANCE-KLM, TOTAL, GROUPE ADP AND AIRBUS HAVE JOINED FORCES TO MAKE THE FIRST LONG-HAUL FLIGHT FUELED BY SUSTAINABLE AVIATION FUEL (SAF) PRODUCED IN FRANCE.BIOFUEL USED FOR THIS FLIGHT WAS MADE FROM WASTE AND RESIDUE SOURCED FROM THE CIRCULAR ECONOMY.",25 days ago
Aéroports De Paris Total Traffic Up By 6.8 Million Passengers in April 2021,"May 17 (Reuters) - AEROPORTS DE PARIS SA <ADP.PA>::APRIL 2021 TRAFFIC FIGURES.GROUPE ADP TOTAL TRAFFIC IS UP BY 6.8 MILLION PASSENGERS IN APRIL 2021 COMPARED TO APRIL 2020.IN APRIL 2021, AT PARIS AÉROPORT ALONE, TRAFFIC INCREASED BY 1.2 MILLION OF PASSENGERS COMPARED TO APRIL 2020.PARIS-CHARLES DE GAULLE WELCOMED 0.9 MILLION PASSENGERS IN APRIL 2021.PARIS-ORLY WELCOMED 0.4 MILLION PASSENGERS IN APRIL 2021.SINCE BEGINNING OF YEAR, GROUPE ADP TOTAL TRAFFIC IS DOWN BY -49.0% COMPARED TO 2020.PASSENGER TRAFFIC AT TAV AIRPORTS, 46.4%-OWNED BY GROUPE ADP, STOOD AT 1.7 MILLION PASSENGERS, UP BY 1.7 MILLION PASSENGERS IN APRIL 2021.PASSENGER TRAFFIC AT AMMAN AIRPORT, 51%-OWNED BY GROUPE ADP, STOOD AT 0.2 MILLION PASSENGERS, UP BY 0.1 MILLION PASSENGERS IN APRIL 2021.PASSENGER TRAFFIC AT SANTIAGO DE CHILE AIRPORT STOOD AT 0.3 MILLION PASSENGERS, UP BY 0.2 MILLION PASSENGERS IN APRIL 2021.PASSENGER TRAFFIC AT GMR AIRPORTS, 49%-OWNED BY GROUPE ADP SINCE JULY 2020, STOOD AT 3.5 MILLION PASSENGERS, UP BY 3.5 MILLION PASSENGERS IN APRIL 2021.IN PARIS AÉROPORT AND IN APRIL 2021: INTERNATIONAL TRAFFIC (EXCLUDING EUROPE, INCLUDING FRENCH OVERSEAS TERRITORIES) WAS UP (+436,146 PASSENGERS, AT 13.4% OF APRIL 2019 TRAFFIC).IN PARIS AÉROPORT AND IN APRIL 2021: EUROPEAN TRAFFIC (EXCLUDING FRANCE) WAS UP (+448,062 PASSENGERS2, AT 11.6% OF APRIL 2019 TRAFFIC).IN PARIS AÉROPORT AND IN APRIL 2021: TRAFFIC WITHIN MAINLAND FRANCE WAS UP (+297,672 PASSENGERS, AT 21.9% OF APRIL 2019 TRAFFIC).",a month ago
"ADP, CNES, French Air And Space Forces Partner On Anti-Drone Warfare","May 3 (Reuters) - Aeroports de Paris SA <ADP.PA>::SIGNING OF A PARTNERSHIP BETWEEN THE FRENCH AIR AND SPACE FORCES, CNES AND GROUPE ADP ABOUT ANTI-DRONE WARFARE.THIS PARTNERSHIP IS CONCLUDED FOR A 5-YEAR TIME-PERIOD.",a month ago
ADP's TAV Airports Completes Acquisition Of Almaty Airport,April 29 (Reuters) - AEROPORTS DE PARIS SA <ADP.PA>::GROUPE ADP ANNOUNCES THE COMPLETION BY TAV AIRPORTS OF ITS ACQUISITION OF ALMATY INTERNATIONAL AIRPORT IN KAZAKHSTAN.,a month ago
ADP Q1 Revenue Drops By -48.0% To 474 Million Euros,"April 28 (Reuters) - AEROPORTS DE PARIS SA <ADP.PA>::Q1 FINANCIAL UPDATE.Q1 CONSOLIDATED REVENUE DOWN BY -48.0% OVER THE FIRST QUARTER OF 2021 COMPARED TO THE SAME PERIOD IN 2020, AT €474 MILLION.OVER THE FIRST 3 MONTHS OF 2021, GROUP TRAFFIC IS DOWN BY 60.2% COMPARED TO THE FIRST QUARTER OF 2020 - CHAIRMAN AND CEO.ALL THE GROUP'S ACTIVITIES HAVE BEEN HEAVILY IMPACTED OVER THE 1ST QUARTER OF 2021- CHAIRMAN AND CEO.OVER THE FIRST THREE MONTHS OF 2021, GROUPE ADP PASSENGER TRAFFIC WAS DOWN BY -60.2% COMPARED TO THE SAME PERIOD IN 2020, AT 24.9 MILLION PASSENGERS, OR 33.2% OF THE GROUP TRAFFIC LEVEL IN Q1 2019.GROUPE ADP HAD A CASH POSITION OF €3.3 BILLION AS OF 31 MARCH 2021, OF WHICH €0.7 BILLION WAS HELD BY TAV AIRPORTS.GROUP IS CONTINUING ITS EFFORTS TO STABILIZE ITS FINANCIAL POSITION BY CAREFULLY MANAGING ITS EXPENSES AND DEMONSTRATING AGILITY AND FLEXIBILITY IN THE MANAGEMENT OF ITS INFRASTRUCTURE- CHAIRMAN AND CEO.GROUP CONFIRMS ITS TRAFFIC ASSUMPTIONS AND FORECASTS AND ANTICIPATES A RETURN TO 2019 TRAFFIC LEVELS IN PARIS BETWEEN 2024 AND 2027- CHAIRMAN AND CEO.TO DATE, TRAFFIC ASSUMPTION FOR GROUPE ADP IN 2021 STANDS BETWEEN 45% AND 55% OF THE 2019 GROUP TRAFFIC AND THE TRAFFIC ASSUMPTION FOR PARIS AÉROPORT BETWEEN 35% AND 45% OF THE 2019 PARIS AÉROPORT TRAFFIC.THE OBJECTIVE OF A NET FINANCIAL DEBT /EBITDA RATIO OF 6X TO 7X BY THE END OF 2022 IS MAINTAINED - CHAIRMAN AND CEO.EBITDA / GROUP REVENUE RATIO IS EXPECTED TO STAND BETWEEN 18% AND 23% IN 2021.",2 months ago
Aéroports De Paris Total Traffic Down By -32.2 % In March 2021,"April 15 (Reuters) - Aeroports de Paris SA <ADP.PA>::MARCH 2021 TRAFFIC FIGURES.TOTAL TRAFFIC IS DOWN BY -32.2 % IN MARCH 2021 COMPARED TO MARCH 2020, WITH 8.6 MILLION PASSENGERS WELCOMED FOR ENTIRE NETWORK OF OPERATED AIRPORTS. IT STANDS AT 33.1% OF MARCH 2019 GROUP TRAFFIC.AT PARIS AÉROPORT ALONE, WITH 1.3 MILLION PASSENGERS WELCOMED, TRAFFIC DECREASED BY -63.2% IN MARCH 2021 COMPARED TO MARCH 2020. IT STANDS AT 15.3% OF MARCH 2019 PARIS AÉROPORT TRAFFIC.",2 months ago
"Groupe ADP February 2021 Total Traffic Down 67.5%, With 1.3 Million Passengers","March 16 (Reuters) - AEROPORTS DE PARIS SA <ADP.PA>::GROUPE ADP TOTAL TRAFFIC IS DOWN BY -67.5 % IN FEBRUARY 2021 COMPARED TO FEBRUARY 2020 (FIXES TYPO).REG-AÉROPORTS DE PARIS SA - FEBRUARY 2021 TRAFFIC FIGURES.AT PARIS AÉROPORT ALONE, WITH 1.3 MILLION PASSENGERS WELCOMED, TRAFFIC DECREASED BY -82.7% IN FEBRUARY 2021 COMPARED TO FEBRUARY 2020 (LEAP YEAR).IN PARIS AÉROPORT:INTERNATIONAL TRAFFIC (EXCLUDING EUROPE, INCLUDING FRENCH OVERSEAS TERRITORIES) WAS DOWN (-83.5%).IN PARIS AÉROPORT IN FEB EUROPEAN TRAFFIC (EXCLUDING FRANCE) WAS DOWN BY -87.9%;.IN PARIS AÉROPORT IN FEB TRAFFIC WITHIN MAINLAND FRANCE WAS DOWN BY -66.4%.IN PARIS AÉROPORT IN FEB TRAFFIC WITH THE FRENCH OVERSEAS TERRITORIES (INCLUDED WITHIN THE INTERNATIONAL TRAFFIC) WAS DOWN BY -70.2%.IN PARIS AÉROPORT IN FEB THE NUMBER OF CONNECTING PASSENGERS DECREASED BY -77.7%. THE CONNECTING RATE STOOD AT 30.8%, UP BY 7.6 POINTS COMPARED WITH FEBRUARY 2020.IN FEB PASSENGER TRAFFIC AT TAV AIRPORTS, 46.4%-OWNED BY GROUPE ADP , DECREASED BY -68.4% IN FEBRUARY 2021.IN FEB PASSENGER TRAFFIC AT SANTIAGO DE CHILE AIRPORT, 45%-OWNED BY GROUPE ADP, DECREASED BY -71.7% IN FEBRUARY 2021..IN FEB PASSENGER TRAFFIC AT AMMAN AIRPORT, 51%-OWNED BY GROUPE ADP, DECREASED BY -76.4% IN FEBRUARY 2021.IN FEB PASSENGER TRAFFIC AT GMR AIRPORTS, 49%-OWNED BY GROUPE ADP SINCE JULY 20203 , DECREASED BY -49.4% IN FEBRUARY 2021..",3 months ago
"ADP FY Net Result Attributable To Group Swings To Loss Of 1,169 Million Euros","Feb 17 (Reuters) - Aeroports de Paris SA <ADP.PA>::2020 FINANCIAL RESULTS MARKED BY THE COVID-19 PANDEMIC.GROUPE ADP TRAFFIC(2): DECREASE BY -60.4%(3), AT 96.3 MILLION PASSENGERS (EXCLUDING TRAFFIC AT ISTANBUL ATATÜRK AND EXCLUDING GMR AIRPORTS PLATFORMS IN 2019);.FY NET RESULT ATTRIBUTABLE TO GROUP AT -EUR 1,169 MILLION, DOWN BY -EUR 1,757 MILLION.PARIS AÉROPORT TRAFFIC (PARIS-CHARLES DE GAULLE AND PARIS-ORLY): -69.4% AT 33.1 MILLION PASSENGERS;.FY CONSOLIDATED REVENUE DOWN BY -54.5%, AT 2,137 MILLION, DUE TO IMPORTANT IMPACT OF COVID-19 PANDEMIC ON REVENUE FROM AVIATION AND RETAIL.FY POSITIVE EBITDA AT +EUR 168 MILLION, DOWN BY -EUR 1,604 MILLION (-90.5%), DUE TO SHARP DECLINE IN REVENUE.FY OPERATING INCOME FROM ORDINARY ACTIVITIES AT -EUR 1,123 MILLION, DOWN BY -EUR 2,217 MILLION;.FY CONSOLIDATED REVENUE DOWN BY -54.5%, AT EUR 2,137 MILLION.HAD DECIDED TO PROPOSE TO NEXT AGM, TO BE HELD ON 11 MAY 2021, NOT TO DISTRIBUTE A DIVIDEND FOR YEAR ENDED ON 31 DECEMBER 2020.ADP SEES 2021 GROUP TRAFFIC ASSUMPTION BETWEEN 45% AND 55% OF 2019 GROUP TRAFFIC.ADP SEES 2021 PARIS AÉROPORT TRAFFIC ASSUMPTION BETWEEN 35% AND 45% OF 2019 PARIS AÉROPORT TRAFFIC.ADP SEES EBITDA / GROUP REVENUE RATIO 18% - 23% IN 2021.2021-2022 ANNUAL INVESTMENTS ESTIMATED BETWEEN EUR 500 MILLION AND EUR 600 MILLION PER YEAR, REGULATED / NON REGULATED.2021/2022: IN PARIS FINALIZATION OF ONGOING PROJECTS, MAINTENANCE AND REGULATORY INVESTMENTS.ADP SEES NET FINANCIAL DEBT / EBITDA RATIO 6X TO 7X BY END OF 2022.",4 months ago
Aeroports De Paris January 2021 Total Traffic Down By -67.1%,"Feb 16 (Reuters) - Aeroports de Paris SA <ADP.PA>::AÉROPORTS DE PARIS SA: JANUARY 2021 TRAFFIC FIGURES.GROUPE ADP TOTAL TRAFFIC IS DOWN BY -67.1% IN JANUARY 2021 COMPARED TO JANUARY 2020.AT PARIS-CHARLES DE GAULLE, ONLY TERMINALS 2E, 2F AND 2A ARE CURRENTLY OPENED IN ORDER TO HANDLE ENTIRETY OF COMMERCIAL PASSENGER FLIGHTS.IN JAN PARIS AÉROPORT:INTERNATIONAL TRAFFIC (EXCLUDING EUROPE, INCLUDING FRENCH OVERSEAS TERRITORIES) WAS DOWN (-68.2%), DUE TO DECREASE OF ALL DESTINATIONS: ASIA-PACIFIC (-92.2%), NORTH AMERICA (-84.4%), MIDDLE EAST (-75.5%), LATIN AMERICA (-72.2%), AFRICA (‑60.0%).PASSENGER TRAFFIC AT TAV AIRPORTS, 46.4%-OWNED BY GROUPE ADP2, DECREASED BY 72.1% IN JANUARY 2021..PASSENGER TRAFFIC AT SANTIAGO DE CHILE AIRPORT, 45%-OWNED BY GROUPE ADP, DECREASED BY 72.0% IN JANUARY 2021..PASSENGER TRAFFIC AT AMMAN AIRPORT, 51%-OWNED BY GROUPE ADP, DECREASED BY 77.7% IN JANUARY 2021..PASSENGER TRAFFIC AT GMR AIRPORTS, 49%-OWNED BY GROUPE ADP SINCE JULY 20203, DECREASED BY 53.9% IN JANUARY 2021..IN JAN IN PARIS AEROPORT: EUROPEAN TRAFFIC (EXCLUDING FRANCE) WAS DOWN BY 83.7%.IN JAN IN PARIS AEROPORT: TRAFFIC WITHIN MAINLAND FRANCE WAS DOWN BY 62.5%.NUMBER OF CONNECTING PASSENGERS DECREASED BY 72.1%. CONNECTING RATE STOOD AT 29.4%, UP BY 2.8 POINTS COMPARED WITH JANUARY 2020.",4 months ago
French govt asks ADP for new plans on developing Paris Charles de Gaulle/Roissy airport,Feb 11 (Reuters) - Aeroports de Paris SA <ADP.PA>::.,5 months ago
