,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"(1,133.00)","(1,362.00)","3,054.00","2,361.00",995.00
Depreciation/Depletion,"2,831.00","2,927.00","2,444.00","2,298.00","2,294.00"
Non-Cash Items,"1,163.00","1,484.00","(1,544.00)",(72.00),633.00
Cash Taxes Paid,(79.00),"1,476.00",897.00,152.00,559.00
Cash Interest Paid,205.00,187.00,292.00,501.00,378.00
Changes in Working Capital,"(8,281.00)",704.00,"(1,636.00)",(143.00),447.00
Cash from Operating Activities,"(5,420.00)","3,753.00","2,318.00","4,444.00","4,369.00"
Capital Expenditures,"(1,759.00)","(2,340.00)","(2,285.00)","(2,558.00)","(3,060.00)"
"Other Investing Cash Flow Items, Total","5,885.00",(524.00),650.00,28.00,"2,230.00"
Cash from Investing Activities,"4,126.00","(2,864.00)","(1,635.00)","(2,530.00)",(830.00)
Financing Cash Flow Items,91.00,319.00,179.00,(3.00),(4.00)
Total Cash Dividends Paid,0.00,"(1,280.00)","(1,161.00)","(1,043.00)","(1,008.00)"
"Issuance (Retirement) of Stock, Net",85.00,163.00,68.00,83.00,(676.00)
"Issuance (Retirement) of Debt, Net","6,657.00",(160.00),"(2,308.00)","1,284.00","1,572.00"
Cash from Financing Activities,"6,833.00",(958.00),"(3,222.00)",321.00,(116.00)
Foreign Exchange Effects,(414.00),(45.00),(54.00),(374.00),60.00
Net Change in Cash,"5,125.00",(114.00),"(2,593.00)","1,861.00","3,483.00"
